Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wor,Wdr,Wast,Wto,Wstl,Wblk,Wpf,Lfgm,Lfga,Lfgm3,Lfga3,Lftm,Lfta,Lor,Ldr,Last,Lto,Lstl,Lblk,Lpf
2017,11,1188,69,1218,68,A,0,25,58,7,17,12,19,12,19,10,14,13,2,25,24,53,3,19,17,25,11,24,12,19,5,2,15
2017,11,1190,96,1200,59,H,0,31,49,12,23,22,35,10,24,21,15,11,6,17,21,47,7,19,10,13,4,14,11,19,5,1,26
2017,11,1193,85,1357,63,H,0,35,67,11,25,4,7,7,31,18,13,6,3,18,25,64,3,16,10,16,13,27,8,16,6,1,15
2017,11,1196,80,1195,59,N,0,28,62,4,15,20,26,15,26,11,7,13,9,16,23,59,8,20,5,11,14,24,8,19,1,2,22
2017,11,1201,69,1427,66,H,0,20,49,6,18,23,33,3,27,11,11,14,2,22,25,70,5,25,11,23,25,30,11,20,4,0,24
2017,11,1203,75,1271,71,H,0,19,45,8,22,29,34,13,28,16,20,3,3,14,25,68,9,21,12,14,15,15,11,10,11,2,24
2017,11,1210,70,1399,55,H,0,28,50,3,11,11,16,8,26,17,15,5,9,15,21,63,5,26,8,16,21,16,12,14,5,3,18
2017,11,1211,92,1430,69,H,0,35,67,7,17,15,18,11,40,22,16,6,2,20,24,66,9,25,12,20,8,23,11,11,3,2,19
2017,11,1220,74,1164,72,H,0,26,65,11,35,11,22,14,30,16,9,7,3,17,25,56,12,27,10,18,6,33,13,11,5,3,23
2017,11,1222,93,1288,52,H,0,36,69,11,28,10,15,17,23,24,8,7,3,20,15,50,3,16,19,24,12,20,4,17,5,2,19
2017,11,1228,81,1369,62,H,0,30,53,11,31,10,12,7,30,14,16,3,5,14,25,61,10,24,2,5,7,15,12,13,5,0,18
2017,11,1231,103,1242,99,N,1,31,71,15,31,26,36,18,32,15,18,7,3,31,31,71,7,23,30,38,12,27,16,11,9,2,32
2017,11,1234,91,1244,74,H,0,30,60,7,22,24,34,11,28,17,17,9,8,21,30,70,8,15,6,15,17,24,19,21,9,1,25
2017,11,1235,113,1366,71,H,0,47,85,8,26,11,20,17,45,31,20,11,4,16,25,76,13,48,8,16,10,26,20,22,12,2,20
2017,11,1240,84,1409,73,A,0,30,54,9,23,15,20,9,22,12,16,5,3,24,23,58,10,28,17,29,18,18,11,15,2,1,21
2017,11,1243,82,1442,55,H,0,27,61,10,14,18,22,14,28,15,9,7,2,17,19,52,8,22,9,17,9,20,8,14,4,3,16
2017,11,1246,87,1372,64,H,0,31,62,5,18,20,30,11,17,21,13,12,8,19,23,52,5,19,13,19,14,22,10,28,6,5,32
2017,11,1257,78,1191,47,H,0,30,63,3,15,15,27,19,33,15,12,10,10,17,16,57,4,15,11,20,11,18,6,13,7,2,18
2017,11,1260,69,1108,44,H,0,27,53,6,19,9,19,8,24,20,8,6,0,14,17,46,5,20,5,9,6,26,6,20,5,4,22
2017,11,1266,95,1435,71,N,0,39,74,13,31,4,5,10,29,22,12,13,4,23,23,58,8,24,17,26,11,26,13,19,4,5,10
2017,11,1268,62,1110,56,H,0,20,52,4,14,18,25,19,25,7,18,3,2,10,22,52,8,23,4,5,5,17,11,12,8,5,21
2017,11,1269,90,1262,76,H,0,29,69,5,25,27,35,12,28,18,21,17,6,29,22,59,5,24,27,37,13,27,13,28,9,0,25
2017,11,1274,92,1441,43,H,0,31,62,6,13,24,36,15,37,15,10,9,8,15,17,67,7,33,2,3,14,22,10,16,3,3,29
2017,11,1276,76,1224,58,H,0,22,52,9,24,23,26,10,20,16,10,9,4,21,20,43,4,12,14,29,8,21,7,17,1,1,26
2017,11,1278,86,1418,74,H,0,27,53,10,25,22,32,8,31,17,19,6,5,26,22,69,7,21,23,30,20,22,10,15,11,2,26
2017,11,1279,86,1404,83,H,0,27,56,7,19,25,37,16,28,14,24,9,10,24,27,73,12,33,17,24,21,19,13,17,8,1,29
2017,11,1280,78,1313,74,H,0,28,60,11,23,11,17,11,27,15,13,4,8,22,26,57,5,15,17,26,9,26,11,12,5,5,21
2017,11,1283,96,1105,62,H,0,40,65,12,27,4,7,11,21,20,6,8,5,15,23,54,5,14,11,14,9,14,12,12,3,1,11
2017,11,1284,78,1180,65,H,0,29,71,9,27,11,14,18,25,14,14,6,6,25,20,63,9,30,16,24,19,25,9,16,4,3,19
2017,11,1293,73,1229,70,H,0,24,58,12,33,13,19,9,24,12,14,8,3,18,24,54,6,16,16,21,10,29,11,18,8,3,21
2017,11,1295,76,1117,66,H,0,23,46,1,11,29,42,7,25,9,14,10,6,18,25,57,5,16,11,15,10,21,14,16,5,1,35
2017,11,1296,80,1232,78,H,1,26,64,4,18,24,37,14,34,10,12,6,5,17,25,72,10,36,18,22,13,30,14,10,7,4,28
2017,11,1301,81,1204,79,H,0,27,63,4,24,23,33,15,29,14,9,2,8,22,27,73,5,22,20,32,20,26,5,7,4,3,27
2017,11,1307,81,1226,70,H,0,28,59,3,16,22,33,18,21,19,18,6,4,20,27,57,9,22,7,11,10,19,17,20,10,0,29
2017,11,1311,79,1130,73,A,0,30,61,5,18,14,25,10,25,16,10,8,4,18,26,52,9,18,12,23,7,28,15,16,4,4,23
2017,11,1314,95,1408,75,N,0,34,69,9,20,18,25,18,34,23,13,7,2,20,25,72,12,30,13,19,17,21,12,12,5,4,21
2017,11,1318,87,1131,77,H,0,27,49,10,21,23,37,7,25,14,13,7,2,18,28,66,8,30,13,17,14,23,12,13,9,3,26
2017,11,1321,94,1290,63,H,0,32,64,11,26,19,29,14,36,21,13,5,7,25,22,59,5,14,14,29,9,23,11,12,9,4,22
2017,11,1324,78,1132,70,H,0,25,56,7,19,21,26,6,41,18,18,5,7,20,26,74,9,20,9,17,11,28,12,11,6,4,21
2017,11,1326,78,1298,68,A,0,27,47,10,18,14,21,6,33,20,17,3,8,23,23,61,8,29,14,24,13,18,14,7,5,0,19
2017,11,1329,102,1144,65,H,0,34,71,8,26,26,38,15,37,10,15,13,5,23,18,56,10,26,19,30,8,27,8,23,9,5,29
2017,11,1330,62,1241,55,H,0,21,57,4,15,16,27,16,23,15,8,6,6,17,21,53,6,20,7,13,14,26,7,16,4,2,26
2017,11,1332,91,1119,77,H,0,27,60,9,25,28,34,12,30,15,17,2,13,23,26,66,9,24,16,23,10,20,14,13,3,0,27
2017,11,1333,78,1341,58,H,0,19,46,3,16,37,49,11,37,10,20,10,9,14,21,64,5,21,11,17,9,24,8,15,7,1,31
2017,11,1335,67,1352,50,A,0,26,55,5,18,10,21,11,33,13,15,9,4,22,17,58,3,17,13,25,17,27,10,16,4,1,22
2017,11,1337,77,1142,68,H,0,31,61,4,10,11,21,9,28,25,11,9,5,23,23,60,7,20,15,23,13,29,12,15,2,1,20
2017,11,1338,93,1185,90,H,2,25,63,8,33,35,45,11,30,17,12,3,3,22,33,77,5,21,19,23,15,30,12,11,8,5,30
2017,11,1339,71,1415,55,H,0,27,57,9,21,8,11,7,33,14,14,2,4,18,21,67,5,27,8,14,15,26,6,11,4,4,20
2017,11,1342,73,1202,71,H,0,26,54,6,19,15,18,7,24,10,9,6,1,19,24,56,11,31,12,20,14,23,16,14,4,1,19
2017,11,1345,109,1270,65,H,0,39,70,9,23,22,31,20,39,23,14,7,4,10,24,77,8,33,9,10,12,16,13,10,6,2,23
2017,11,1348,84,1171,61,H,0,33,70,5,20,13,23,18,25,11,11,12,11,26,19,54,4,12,19,23,13,23,6,20,2,0,20
2017,11,1350,72,1440,69,H,0,23,49,7,18,19,32,6,29,13,14,6,1,17,22,61,8,28,17,22,12,29,8,12,8,8,24
2017,11,1351,67,1214,56,A,0,25,54,4,16,13,18,9,28,9,20,8,5,18,20,57,4,21,12,16,11,24,10,19,3,3,18
2017,11,1361,69,1360,59,H,0,23,51,7,17,16,22,10,21,7,7,10,4,17,24,49,6,15,5,10,7,21,10,14,0,2,23
2017,11,1362,82,1227,80,H,0,29,61,8,21,16,24,12,21,15,20,12,3,26,27,61,11,23,15,28,20,24,15,25,9,6,21
2017,11,1365,67,1319,64,H,0,23,60,8,35,13,19,6,28,13,8,6,1,18,20,59,8,27,16,20,12,35,9,14,5,2,19
2017,11,1371,91,1192,70,H,0,35,57,8,16,13,27,10,33,21,11,5,0,19,24,61,9,29,13,16,7,23,13,10,7,3,23
2017,11,1374,72,1205,44,H,0,24,53,8,21,16,21,16,27,17,18,11,5,15,15,49,6,22,8,15,12,15,9,23,12,1,20
2017,11,1375,76,1424,68,A,0,32,73,8,27,4,9,14,28,19,9,6,7,30,21,57,2,15,24,34,14,32,12,16,3,3,18
2017,11,1376,85,1256,76,H,0,30,57,9,18,16,26,10,25,16,15,6,4,20,24,55,7,20,21,30,9,20,8,14,11,4,28
2017,11,1377,79,1179,74,A,0,30,65,8,24,11,19,16,22,9,13,7,5,18,26,55,7,18,15,19,8,21,13,14,6,5,18
2017,11,1378,84,1197,73,H,0,30,56,5,15,19,27,11,36,16,16,6,4,23,22,63,9,23,20,32,11,21,14,10,12,4,23
2017,11,1385,100,1126,53,H,0,33,53,11,22,23,32,7,28,21,11,6,9,19,20,60,5,24,8,19,16,16,6,18,6,1,27
2017,11,1388,81,1305,63,H,0,33,55,5,13,10,15,10,22,21,6,3,0,20,22,47,5,17,14,24,7,16,14,8,3,5,19
2017,11,1390,80,1217,70,N,0,25,54,1,6,29,43,10,32,16,11,7,1,28,22,59,4,17,22,30,9,27,12,12,6,5,29
2017,11,1393,83,1159,55,H,0,34,62,7,20,8,19,13,33,23,11,10,5,20,18,64,6,37,13,21,19,21,17,14,4,1,22
2017,11,1396,97,1247,92,H,1,34,69,9,24,20,31,9,38,17,11,8,9,18,30,71,9,28,23,27,6,29,14,9,5,7,27
2017,11,1398,78,1413,64,N,0,23,57,7,20,25,38,16,32,15,14,10,1,26,20,53,9,28,15,27,6,26,15,17,5,1,31
2017,11,1400,78,1230,73,H,0,27,58,3,18,21,30,4,38,10,15,5,8,24,24,70,6,23,19,26,12,27,9,11,7,2,28
2017,11,1401,72,1322,44,H,0,28,61,5,24,11,22,19,27,19,12,7,9,19,12,43,5,13,15,24,9,20,8,18,7,1,21
2017,11,1402,61,1194,57,N,0,22,47,6,13,11,18,8,26,11,19,6,4,18,20,60,6,20,11,17,16,22,9,16,7,6,21
2017,11,1403,93,1223,67,H,0,33,54,10,17,17,25,6,30,20,14,5,4,22,22,58,7,23,16,24,10,17,10,15,4,0,23
2017,11,1412,86,1115,66,H,0,25,53,3,16,33,43,12,32,19,15,10,9,19,22,62,10,26,12,17,11,21,10,17,7,1,28
2017,11,1417,119,1334,80,H,0,42,69,18,30,17,24,11,32,29,12,8,4,27,28,66,10,26,14,28,14,19,7,14,5,0,25
2017,11,1425,75,1285,61,H,0,21,51,6,20,27,38,14,25,9,14,9,5,16,22,57,10,29,7,11,10,22,11,16,8,3,29
2017,11,1429,72,1414,56,A,0,25,53,7,19,15,21,3,33,14,10,3,3,18,18,61,8,29,12,19,13,28,15,11,6,3,21
2017,11,1433,80,1421,65,H,0,31,56,6,19,12,19,11,24,14,14,11,1,15,25,53,6,17,9,14,7,18,9,13,7,0,19
2017,11,1434,79,1381,65,H,0,21,57,4,18,33,37,15,30,9,10,8,4,23,20,55,10,27,15,24,12,22,8,15,5,3,29
2017,11,1437,88,1248,48,H,0,33,67,15,41,7,12,10,43,15,8,8,4,14,19,65,6,32,4,7,6,27,12,13,3,0,15
2017,11,1438,76,1422,51,A,0,26,50,8,16,16,18,11,24,13,11,8,1,17,17,46,7,21,10,13,7,14,7,13,6,1,15
2017,11,1439,80,1263,67,H,0,30,66,7,23,13,17,8,36,14,10,3,3,11,24,67,9,30,10,14,7,29,11,11,2,1,17
2017,11,1447,67,1163,58,A,0,20,53,9,25,18,23,11,26,13,12,6,3,16,20,56,6,19,12,16,12,21,9,9,4,2,20
2017,11,1448,80,1347,59,H,0,32,65,5,18,11,17,14,29,18,16,9,10,15,24,67,6,24,5,10,16,23,12,18,6,3,19
2017,11,1450,69,1286,65,H,0,20,47,5,14,24,34,8,40,15,17,1,4,16,22,75,12,39,9,10,14,24,11,8,3,1,25
2017,11,1452,87,1291,59,H,0,32,67,6,18,17,29,19,26,12,13,6,7,21,19,54,7,24,14,20,11,21,10,21,6,5,25
2017,11,1455,85,1354,39,H,0,30,63,4,23,21,29,15,34,21,10,10,5,18,14,52,3,16,8,11,6,22,5,19,4,1,23
2017,11,1458,79,1146,47,H,0,25,53,11,29,18,23,14,30,14,11,6,6,17,15,53,6,16,11,18,13,16,10,12,6,3,18
2017,11,1460,85,1356,81,A,0,27,58,10,19,21,31,18,23,14,18,4,2,20,28,55,9,20,16,20,7,18,12,17,9,6,32
2017,11,1462,84,1250,81,H,0,32,62,4,17,16,19,12,20,18,17,8,3,21,29,58,9,23,14,17,10,17,21,20,10,2,23
2017,12,1139,89,1294,52,H,0,32,60,9,29,16,21,9,26,13,12,9,3,24,16,46,4,20,16,28,7,17,3,19,3,0,22
2017,12,1172,86,1111,74,H,0,30,63,9,22,17,23,12,26,17,11,5,2,26,23,59,7,22,21,30,13,26,10,14,6,5,25
2017,12,1181,96,1213,61,H,0,32,60,11,29,21,31,10,29,20,15,14,8,19,26,62,3,12,6,12,10,21,11,21,7,2,26
2017,12,1199,88,1149,67,H,0,33,67,7,21,15,19,11,31,17,10,9,7,18,24,60,7,25,12,19,8,22,11,15,3,6,19
2017,12,1207,105,1367,60,H,0,36,54,9,17,24,32,8,25,22,15,13,2,24,21,57,6,25,12,28,20,13,11,26,6,2,26
2017,12,1239,92,1176,84,A,0,26,48,10,22,30,41,7,25,11,15,11,0,27,27,57,12,25,18,28,10,23,14,18,5,0,33
2017,12,1245,79,1156,74,N,1,27,65,6,25,19,28,17,24,11,14,7,3,23,21,49,12,30,20,29,8,20,15,16,4,4,25
2017,12,1261,91,1459,69,H,0,34,66,6,21,17,21,17,24,11,7,9,5,15,24,65,8,22,13,13,16,18,9,12,2,0,19
2017,12,1267,81,1300,69,H,0,28,59,8,26,17,25,11,30,13,13,6,5,17,27,66,7,26,8,17,14,26,10,13,2,2,24
2017,12,1303,74,1364,60,A,0,24,60,9,36,17,21,12,27,15,15,7,3,15,24,60,5,23,7,9,10,27,17,18,9,3,21
2017,12,1323,89,1136,64,H,0,30,61,3,16,26,29,7,27,15,3,9,6,16,24,59,5,21,11,17,11,26,15,13,2,2,24
2017,12,1325,77,1380,67,H,0,26,61,8,20,17,27,13,23,11,13,6,4,17,25,58,5,15,12,18,13,29,10,21,6,2,24
2017,12,1382,92,1384,82,H,0,32,62,7,23,21,30,13,20,14,13,11,6,26,25,53,9,17,23,31,12,20,15,21,4,0,25
2017,12,1386,77,1405,76,H,0,27,60,6,14,17,28,9,23,9,13,5,5,20,28,61,8,22,12,16,11,27,12,17,2,2,25
2017,12,1398,69,1319,65,N,0,22,54,1,14,24,31,12,33,9,18,5,5,27,17,58,8,34,23,30,13,22,11,13,4,1,26
2017,12,1406,67,1206,61,A,0,24,56,3,15,16,23,13,26,8,16,6,3,21,22,53,4,22,13,20,10,22,10,17,3,4,22
2017,12,1413,63,1365,58,A,0,23,56,3,9,14,21,9,23,10,12,2,2,22,22,56,5,24,9,12,10,26,11,17,6,5,27
2017,12,1426,89,1411,82,H,0,32,62,5,23,20,27,15,32,14,12,6,3,23,29,66,10,36,14,23,10,19,9,7,9,1,18
2017,12,1436,94,1346,70,A,0,33,54,7,15,21,27,7,33,18,17,9,0,15,28,69,9,22,5,7,11,15,16,14,5,0,21
2017,12,1443,79,1106,66,H,0,23,51,9,18,24,32,8,36,10,18,3,4,13,26,74,9,29,5,6,12,27,12,13,7,2,27
2017,12,1464,90,1103,82,H,0,33,65,11,27,13,18,9,28,17,9,8,3,18,29,65,10,31,14,22,12,26,14,14,5,4,16
2017,13,1113,96,1142,74,H,0,28,55,7,19,33,42,8,33,12,8,2,4,20,25,58,12,32,12,22,5,25,16,11,4,2,29
2017,13,1135,88,1310,79,H,0,25,50,3,15,35,45,7,28,14,13,8,4,20,30,60,3,14,16,23,9,25,9,16,3,3,32
2017,13,1161,64,1308,61,H,0,19,57,1,14,25,31,20,27,8,15,6,1,20,22,61,6,31,11,14,12,23,11,13,6,6,27
2017,13,1168,106,1340,100,H,2,36,73,12,31,22,26,12,31,24,17,5,3,19,37,71,11,23,15,21,7,26,21,15,7,3,22
2017,13,1174,63,1133,49,A,0,23,52,3,13,14,18,9,36,9,14,7,2,19,16,50,4,25,13,22,5,22,9,8,6,3,15
2017,13,1177,78,1352,72,H,0,24,52,3,11,27,34,8,25,15,16,5,5,21,25,61,7,20,15,21,15,24,11,16,10,1,26
2017,13,1188,77,1194,68,N,0,24,55,4,7,25,37,12,34,9,16,2,6,18,23,69,7,21,15,21,12,23,11,9,8,7,29
2017,13,1196,76,1273,54,N,0,22,61,8,25,24,30,20,27,14,13,6,6,18,19,51,7,19,9,17,10,22,9,17,6,4,31
2017,13,1218,74,1402,68,H,0,23,48,7,18,21,26,7,27,17,14,1,2,16,26,58,7,21,9,18,7,22,14,9,6,5,23
2017,13,1228,79,1297,64,H,0,26,59,7,19,20,30,10,22,10,9,5,4,23,21,57,9,30,13,23,14,29,9,18,3,3,28
2017,13,1234,116,1366,84,H,0,42,87,18,43,14,20,19,33,33,15,6,5,20,30,68,11,28,13,24,11,29,21,20,12,4,20
2017,13,1246,93,1145,69,H,0,31,61,4,16,27,39,15,24,10,10,4,7,19,26,62,4,21,13,20,14,22,11,18,8,1,30
2017,13,1263,80,1255,58,A,0,30,72,9,25,11,17,17,29,16,7,7,3,14,22,57,6,18,8,15,11,29,11,16,5,9,13
2017,13,1276,77,1237,65,H,0,27,60,7,21,16,18,11,29,10,9,4,7,15,23,57,5,14,14,19,7,24,10,8,3,2,17
2017,13,1281,99,1105,44,H,0,35,56,8,16,21,33,10,33,17,9,9,4,14,16,60,1,13,11,15,13,16,4,15,5,1,22
2017,13,1283,91,1240,65,H,0,30,64,15,31,16,17,10,19,16,10,13,1,23,22,40,5,13,16,23,4,22,15,24,3,3,20
2017,13,1287,89,1252,75,H,0,32,63,4,15,21,31,20,26,22,18,11,4,30,18,46,9,25,30,42,7,16,14,20,6,4,25
2017,13,1301,86,1383,61,H,0,31,53,1,7,23,36,14,30,14,11,8,4,18,21,62,8,26,11,17,16,14,9,13,7,0,25
2017,13,1304,83,1170,61,H,0,31,65,6,11,15,18,12,31,13,11,5,3,17,22,53,6,21,11,20,6,23,14,14,4,2,19
2017,13,1314,97,1151,57,H,0,34,70,7,15,22,32,22,29,26,15,14,4,13,22,63,7,27,6,9,15,17,11,26,7,4,25
2017,13,1328,97,1322,61,H,0,37,63,9,18,14,23,13,28,19,14,7,7,22,21,64,4,15,15,25,16,16,11,17,8,0,15
2017,13,1333,72,1427,64,H,0,22,52,5,12,23,37,10,33,12,15,6,7,25,20,60,6,19,18,27,12,26,8,12,8,2,30
2017,13,1336,82,1182,74,H,0,28,58,7,21,19,23,8,24,20,13,6,10,20,26,63,8,22,14,19,14,23,10,18,6,1,22
2017,13,1349,94,1241,70,A,0,28,53,11,26,27,34,5,16,17,10,17,0,24,19,38,7,16,25,32,4,21,10,25,3,0,29
2017,13,1353,87,1180,66,H,0,30,68,8,21,19,27,23,33,18,17,3,6,15,26,68,7,24,7,9,10,19,14,13,11,4,26
2017,13,1371,82,1148,58,H,0,29,57,7,22,17,25,14,31,15,13,6,7,21,22,61,2,13,12,24,13,17,11,9,1,0,21
2017,13,1373,89,1165,78,H,0,28,67,11,29,22,30,13,25,16,8,7,7,21,29,64,7,19,13,22,14,27,13,14,3,1,26
2017,13,1374,91,1185,64,H,0,29,55,8,21,25,38,15,29,26,14,6,1,21,18,53,8,33,20,24,9,17,7,14,10,6,27
2017,13,1376,81,1221,49,H,0,27,46,12,24,15,16,8,24,17,11,4,6,17,17,45,5,20,10,15,5,11,12,9,3,0,16
2017,13,1377,78,1132,72,H,0,24,57,6,17,24,33,9,32,10,12,6,10,19,26,72,6,18,14,18,15,28,14,12,6,3,28
2017,13,1398,69,1365,61,A,0,24,53,10,16,11,20,10,24,10,10,5,3,17,22,53,9,27,8,12,9,25,12,15,3,0,22
2017,13,1404,88,1410,80,H,0,31,58,9,23,17,29,16,28,22,17,4,1,17,30,65,8,25,12,20,13,21,16,10,8,3,27
2017,13,1411,74,1175,61,A,0,24,63,7,27,19,24,22,24,16,13,4,1,20,24,49,6,15,7,15,5,18,11,15,3,4,21
2017,13,1413,89,1319,76,N,0,32,59,13,25,12,21,8,28,21,17,5,4,21,27,66,8,32,14,19,10,20,16,14,4,3,20
2017,13,1417,102,1169,87,H,0,33,67,5,16,31,39,14,30,23,20,6,9,23,33,66,5,15,16,24,5,26,10,18,12,2,30
2017,13,1420,77,1271,73,A,0,22,60,8,25,25,34,16,24,10,8,8,1,17,29,62,9,23,6,10,12,28,20,17,3,5,26
2017,13,1425,82,1303,72,H,0,28,74,7,24,19,26,19,32,15,9,6,8,14,25,68,8,23,14,17,10,32,9,13,4,4,20
2017,13,1448,94,1137,74,H,0,29,58,13,26,23,29,15,25,16,9,4,6,16,30,67,9,25,5,9,15,17,12,10,5,2,24
2017,13,1455,92,1253,55,H,0,31,56,10,20,20,31,9,37,16,14,11,8,26,20,64,2,20,13,22,15,20,8,21,6,1,25
2017,13,1463,98,1449,90,A,0,33,71,8,18,24,34,21,21,20,7,6,0,22,33,56,8,20,16,26,4,25,10,13,5,15,28
2017,14,1102,86,1239,68,H,0,26,53,10,17,24,30,10,25,18,11,4,1,19,23,48,7,22,15,22,3,19,10,13,6,2,27
2017,14,1116,90,1356,65,H,0,30,61,13,23,17,21,11,27,23,14,7,7,20,22,60,6,18,15,20,12,22,10,17,9,1,16
2017,14,1120,83,1209,65,H,0,25,53,7,21,26,39,10,29,13,16,7,6,23,22,60,5,23,16,24,12,23,9,18,8,3,31
2017,14,1140,82,1343,73,H,0,24,60,4,16,30,41,14,38,12,13,8,5,19,27,72,10,35,9,12,9,28,14,11,8,0,29
2017,14,1141,86,1399,74,A,0,31,70,11,33,13,17,14,28,14,10,6,2,20,26,69,7,29,15,18,17,27,11,12,4,4,22
2017,14,1150,100,1189,95,A,0,34,67,10,14,22,26,9,26,12,12,6,1,23,34,63,9,26,18,26,8,27,18,14,8,2,25
2017,14,1153,74,1107,51,H,0,28,61,5,21,13,20,15,19,16,10,13,6,21,20,48,2,14,9,14,12,21,8,22,4,1,19
2017,14,1158,71,1157,64,A,0,21,49,8,21,21,23,10,24,11,13,5,4,16,24,54,8,21,8,14,10,20,11,12,5,4,20
2017,14,1160,67,1370,55,H,0,19,53,3,18,26,41,19,36,12,19,7,6,18,19,63,6,32,11,14,10,25,10,14,11,5,32
2017,14,1187,61,1299,51,H,0,18,52,6,20,19,29,14,33,12,15,7,9,19,18,54,5,19,10,16,8,25,11,12,7,3,26
2017,14,1190,107,1178,78,H,0,41,60,8,21,17,25,7,36,21,15,7,6,22,26,62,12,22,14,25,7,16,12,12,4,1,22
2017,14,1191,82,1108,59,H,0,27,48,6,15,22,30,7,26,17,12,7,2,14,22,59,5,24,10,15,14,20,11,16,6,4,24
2017,14,1202,84,1412,74,A,0,28,52,15,24,13,23,8,23,19,14,5,2,26,21,53,7,19,25,31,13,20,12,14,4,4,24
2017,14,1208,60,1421,46,H,0,22,55,6,20,10,11,11,34,17,17,4,5,11,20,59,4,22,2,5,6,23,10,11,8,4,12
2017,14,1210,77,1380,62,H,0,28,57,4,13,17,31,12,31,14,12,4,16,17,24,72,7,20,7,12,17,23,9,10,5,3,26
2017,14,1211,69,1361,48,H,0,26,66,8,24,9,14,10,35,16,7,13,8,17,16,56,5,21,11,14,7,33,5,15,5,5,12
2017,14,1218,64,1194,63,H,0,24,59,8,19,8,11,12,26,15,15,5,4,14,25,63,7,21,6,10,14,23,11,12,4,7,16
