Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2010,139,3163,95,3380,39,N,0,32,52,9,16,22,26,12,40,27,21,10,7,9,15,65,5,26,4,7,12,10,7,15,8,3,18
2010,139,3235,79,3250,42,H,0,29,59,7,17,14,15,14,32,16,15,5,3,16,11,50,5,23,15,17,7,17,6,17,8,6,18
2010,139,3280,68,3292,64,N,0,26,59,7,19,9,11,11,30,16,17,5,2,9,23,65,12,37,6,8,12,22,19,14,5,0,14
2010,139,3304,83,3320,44,N,0,26,61,10,20,21,25,13,32,20,11,10,3,14,17,58,2,23,8,11,10,24,8,17,4,3,21
2010,139,3323,86,3156,58,H,0,33,64,3,11,17,23,10,30,25,14,13,2,15,22,59,2,15,12,16,10,23,15,24,8,1,17
2010,139,3326,93,3384,59,N,0,37,75,6,17,13,18,19,36,26,16,10,6,14,20,70,7,30,12,18,16,22,10,18,12,5,11
2010,139,3328,68,3355,57,H,0,27,61,4,16,10,11,11,25,15,13,10,4,13,21,57,8,18,7,8,11,24,10,18,5,0,14
2010,139,3361,74,3400,63,A,0,22,52,9,17,21,35,11,37,15,21,7,6,22,22,66,1,13,18,31,14,27,11,14,12,4,24
2010,139,3396,65,3241,53,N,0,24,57,6,17,11,16,10,25,11,17,10,7,12,21,59,4,18,7,15,17,27,9,21,11,1,14
2010,139,3417,74,3301,54,N,0,28,55,4,8,14,15,12,29,16,17,7,4,17,18,54,6,21,12,15,10,16,8,14,9,1,18
2010,139,3435,83,3177,76,N,1,28,63,5,22,22,33,15,32,21,17,9,2,17,31,76,7,19,7,11,16,25,18,16,8,5,25
2010,139,3436,64,3458,55,N,0,21,52,3,11,19,27,6,30,14,11,8,10,13,22,61,5,15,6,9,11,30,13,15,7,4,22
2010,139,3452,58,3249,43,N,0,22,58,4,20,10,19,16,32,12,23,13,1,12,16,52,5,21,6,10,4,24,11,21,7,2,17
2010,139,3453,69,3438,67,N,0,16,44,3,13,34,40,11,32,10,30,9,1,23,25,67,2,10,15,23,14,21,10,19,22,3,28
2010,139,3462,94,3190,82,H,0,36,82,7,26,15,19,26,26,21,14,11,7,15,28,64,15,31,11,17,12,22,16,16,8,3,19
2010,140,3124,49,3207,33,N,0,16,42,0,4,17,27,7,38,10,21,8,16,10,12,70,3,18,6,10,19,25,9,13,8,5,24
2010,140,3181,60,3261,52,H,0,23,52,1,10,13,16,11,21,5,19,13,3,16,20,48,2,7,10,10,7,20,13,22,9,4,15
2010,140,3199,66,3385,65,H,1,25,58,6,16,10,12,14,21,17,21,7,6,20,24,62,0,4,17,24,18,18,11,16,7,2,14
2010,140,3208,74,3329,71,N,1,21,63,8,26,24,37,24,29,13,12,2,7,21,20,66,6,17,25,30,20,24,10,9,6,3,24
2010,140,3211,72,3401,71,N,0,26,59,6,12,14,18,11,26,15,17,11,8,12,30,66,3,10,8,15,15,26,16,18,15,8,16
2010,140,3246,70,3277,52,H,0,25,59,3,13,17,28,11,29,13,11,14,4,13,19,55,2,12,12,15,8,29,9,18,8,5,21
2010,140,3390,96,3234,67,H,0,36,64,11,18,13,19,16,25,26,16,6,4,11,27,61,7,23,6,9,10,17,13,14,5,2,13
2010,140,3397,92,3173,64,H,0,41,76,6,11,4,12,16,28,20,9,10,10,16,27,65,4,13,6,10,12,25,9,15,6,5,16
2010,141,3163,90,3396,36,N,0,34,55,12,17,10,13,10,37,22,15,8,11,8,14,60,5,24,3,9,14,13,10,15,12,0,16
2010,141,3235,60,3453,56,H,0,19,51,8,24,14,21,8,23,13,10,5,3,12,20,48,6,17,10,10,5,26,15,18,3,2,20
2010,141,3280,87,3326,67,N,0,34,61,12,22,7,13,8,18,21,11,14,2,9,25,54,10,15,7,9,13,21,17,24,3,6,14
2010,141,3304,83,3417,70,N,0,25,45,8,15,25,38,9,19,21,17,4,2,12,28,62,5,13,9,10,15,19,16,19,11,2,26
2010,141,3323,84,3436,66,H,0,31,59,3,10,19,29,15,19,20,14,19,1,13,27,55,7,15,5,5,9,20,19,25,10,5,20
2010,141,3328,60,3114,44,H,0,23,47,1,7,13,15,8,27,11,22,6,1,10,19,51,0,16,6,12,9,18,9,20,11,1,16
2010,141,3361,64,3452,55,N,0,23,52,4,8,14,20,11,23,12,16,6,2,17,20,47,2,9,13,22,10,21,3,18,7,2,22
2010,141,3462,63,3435,62,H,0,27,69,4,21,5,9,23,18,17,8,9,1,14,23,55,7,20,9,10,14,21,15,16,6,2,11
2010,145,3124,77,3397,62,A,0,26,53,3,7,22,25,6,35,18,12,2,13,12,25,76,5,16,7,15,19,23,13,8,5,3,17
2010,145,3181,66,3361,58,N,0,24,59,2,9,16,22,19,23,12,23,23,3,14,20,53,9,25,9,11,10,18,11,26,11,6,15
2010,145,3390,73,3208,36,H,0,28,66,5,17,12,15,17,40,19,11,4,3,10,12,59,4,22,8,13,9,24,4,12,5,6,17
2010,145,3462,74,3211,56,N,0,28,58,7,15,11,16,18,29,17,22,8,5,13,21,59,3,12,11,15,12,17,13,16,12,5,14
2010,146,3163,74,3235,36,N,0,26,66,11,26,11,13,15,32,22,9,7,6,10,15,53,6,25,0,0,6,26,10,18,3,1,11
2010,146,3199,74,3280,71,N,0,29,57,6,18,10,12,11,22,20,14,5,7,15,27,65,10,24,7,11,19,19,21,14,4,4,17
2010,146,3246,76,3304,67,N,0,31,62,8,16,6,12,13,23,15,16,10,3,21,24,51,5,12,14,20,7,18,10,16,5,2,15
2010,146,3328,77,3323,72,N,1,30,70,7,14,10,11,15,29,21,17,7,5,14,27,63,3,8,15,17,8,25,14,12,11,5,14
2010,147,3124,51,3181,48,N,0,18,53,2,12,13,20,8,34,12,12,4,9,18,15,65,3,17,15,20,19,29,7,11,6,4,16
2010,147,3390,55,3462,53,H,0,20,57,4,18,11,14,10,29,13,12,2,3,13,23,60,1,14,6,11,11,28,11,12,8,2,17
2010,148,3163,90,3199,50,N,0,32,60,6,12,20,25,13,33,23,18,7,8,16,18,63,4,14,10,15,14,17,10,19,2,3,17
2010,148,3328,88,3246,68,N,0,32,52,5,15,19,21,8,28,15,21,8,2,18,23,70,2,17,20,22,20,14,6,14,12,0,17
2010,153,3163,70,3124,50,N,0,28,67,3,17,11,19,14,25,20,7,6,3,15,17,45,1,7,15,20,6,28,11,21,5,5,17
2010,153,3390,73,3328,66,N,0,27,69,1,15,18,27,18,35,13,7,7,3,12,26,68,4,17,10,16,12,29,7,9,4,4,19
2010,155,3163,53,3390,47,N,0,19,58,6,20,9,22,14,35,9,10,5,7,9,18,68,8,22,3,4,16,33,11,11,2,1,20
2011,138,3177,56,3298,43,N,0,25,67,3,15,3,8,20,19,10,8,12,3,8,16,41,4,19,7,12,10,25,9,23,5,1,12
2011,138,3181,90,3404,45,H,0,37,69,7,20,9,14,14,24,25,8,16,1,15,15,43,4,17,11,17,8,22,8,24,3,0,15
2011,138,3210,69,3132,58,N,0,27,58,2,9,13,18,16,16,11,16,13,3,18,20,43,2,6,16,18,9,18,5,25,5,3,16
2011,138,3211,92,3234,86,H,0,37,77,5,14,13,17,15,29,21,16,15,4,16,30,67,13,29,13,17,9,28,19,19,5,2,15
2011,138,3246,66,3214,62,N,1,22,64,8,19,14,19,15,25,14,13,8,6,17,23,63,6,15,10,13,17,28,11,17,4,6,16
2011,138,3265,74,3235,64,N,0,24,55,10,27,16,23,4,25,21,7,8,4,22,19,55,5,19,21,29,17,31,12,17,3,0,20
2011,138,3266,68,3400,65,N,0,25,56,5,15,13,14,8,27,9,14,7,7,6,29,74,7,19,0,0,18,24,13,11,9,6,15
2011,138,3314,82,3201,68,N,0,27,58,6,16,22,29,16,34,13,15,8,6,14,21,71,14,50,12,16,19,19,15,11,10,1,22
2011,138,3323,67,3428,54,A,0,25,56,3,7,14,21,11,23,16,10,7,6,14,18,55,6,18,12,15,15,26,7,18,5,3,19
2011,138,3326,80,3416,69,H,0,32,61,3,11,13,18,9,24,23,11,8,6,12,25,63,8,19,11,12,15,24,10,18,6,0,19
2011,138,3336,75,3173,66,H,0,27,66,3,12,18,21,12,30,10,13,10,3,9,27,64,10,23,2,5,9,28,16,22,3,0,17
2011,138,3385,55,3403,50,N,0,21,60,2,6,11,19,18,29,12,21,11,3,10,20,60,3,12,7,9,13,27,10,20,12,4,17
2011,138,3390,86,3413,59,H,0,31,56,13,22,11,12,8,25,28,12,8,1,11,22,47,6,14,9,12,2,17,13,15,3,0,14
2011,138,3396,63,3113,45,N,0,27,59,4,13,5,6,12,23,12,10,11,4,15,17,55,2,15,9,10,15,21,11,18,5,3,12
2011,138,3397,99,3391,34,H,0,39,70,8,20,13,24,17,46,19,7,7,9,10,12,66,3,24,7,9,10,21,3,13,3,1,18
2011,138,3417,55,3285,47,N,0,17,40,1,7,20,33,12,20,6,19,19,5,14,16,49,7,20,8,12,14,20,9,25,8,2,20
2011,139,3124,66,3341,30,H,0,25,55,1,11,15,28,15,36,12,13,10,14,9,12,60,3,15,3,5,13,20,3,18,5,1,16
2011,139,3163,75,3216,39,H,0,30,61,4,11,11,13,14,33,20,11,6,1,10,17,54,3,18,2,4,5,18,9,11,7,0,14
2011,139,3199,76,3359,46,N,0,26,55,5,11,19,28,16,36,15,16,5,0,19,14,52,5,19,13,19,7,16,7,12,3,2,21
2011,139,3207,65,3343,49,N,0,23,57,8,21,11,15,12,19,9,8,5,5,15,16,43,4,18,13,16,9,24,11,18,5,2,14
2011,139,3208,56,3292,41,N,0,21,44,1,7,13,18,8,30,7,21,10,4,14,16,56,3,20,6,10,12,19,7,17,6,0,18
2011,139,3257,81,3435,62,N,0,30,50,8,19,13,14,9,26,20,20,10,2,11,25,57,7,18,5,6,7,12,15,14,12,3,15
2011,139,3268,70,3384,48,H,0,23,58,5,17,19,29,21,28,12,23,12,6,17,16,52,4,15,12,18,12,20,10,24,11,1,20
2011,139,3274,80,3205,62,N,0,25,66,6,20,24,33,19,31,15,14,12,8,12,24,70,8,22,6,7,16,24,10,21,8,1,23
2011,139,3277,69,3320,66,N,0,28,60,8,20,5,10,7,27,17,12,8,6,16,24,53,4,14,14,19,7,28,12,15,7,1,16
2011,139,3328,86,3241,72,N,0,31,67,4,16,20,23,18,31,12,22,7,6,20,28,77,2,25,14,19,17,21,7,14,15,4,21
2011,139,3345,53,3243,45,N,0,17,42,5,14,14,16,4,23,9,13,6,6,9,19,63,6,23,1,2,20,22,6,16,3,0,15
2011,139,3353,76,3256,51,N,0,28,55,5,13,15,18,8,36,18,12,9,6,21,17,63,3,23,14,20,13,21,7,10,9,4,16
2011,139,3401,87,3270,47,N,0,37,65,3,11,10,11,16,29,26,13,8,5,14,19,59,4,17,5,10,13,12,3,14,5,0,13
2011,139,3452,79,3222,73,A,0,26,69,5,14,22,32,26,26,11,17,9,3,19,22,56,7,17,22,29,10,26,9,16,5,5,21
2011,139,3453,59,3114,55,N,0,23,54,5,12,8,12,12,24,18,17,6,2,10,23,51,5,17,4,6,5,23,16,17,7,1,21
2011,139,3462,72,3355,56,H,0,25,59,3,12,19,29,16,29,11,13,6,6,15,18,51,5,18,15,18,4,22,12,11,4,2,17
2011,140,3177,75,3336,73,A,0,27,69,8,29,13,23,22,18,10,14,9,1,15,29,61,2,13,13,16,14,24,12,17,8,3,16
2011,140,3181,71,3265,66,H,0,27,63,5,17,12,23,21,22,14,16,12,1,10,26,54,10,27,4,5,6,22,20,20,6,3,19
2011,140,3211,89,3417,75,H,0,29,52,4,11,27,33,6,27,23,16,11,0,13,28,64,4,14,15,20,13,20,17,16,11,1,23
2011,140,3314,86,3246,74,N,0,28,58,3,7,27,30,15,40,19,22,6,8,21,28,81,5,23,13,17,15,16,10,8,8,3,23
2011,140,3323,77,3396,64,N,0,28,54,5,11,16,25,12,30,21,19,9,7,20,22,61,8,13,12,25,15,19,9,15,12,1,19
2011,140,3326,67,3210,60,H,0,25,42,3,10,14,18,5,26,15,21,7,6,8,28,72,2,17,2,2,18,16,10,13,14,1,20
2011,140,3390,75,3385,49,H,0,31,58,6,16,7,11,13,28,19,13,3,6,8,22,60,1,7,4,7,11,14,11,9,7,1,14
2011,140,3397,79,3266,70,H,0,30,58,5,12,14,19,11,29,13,11,6,9,12,27,67,8,18,8,13,14,20,12,11,5,3,17
2011,141,3124,82,3452,68,H,0,25,49,4,9,28,35,9,29,12,15,3,10,16,25,60,7,17,11,17,10,17,12,15,6,2,27
2011,141,3163,64,3345,40,H,0,22,62,6,20,14,17,23,32,15,16,5,7,15,14,54,3,17,9,12,10,20,6,12,6,9,20
2011,141,3207,79,3268,57,A,0,21,52,13,25,24,28,13,25,14,17,9,3,23,18,57,3,16,18,26,19,21,11,20,8,1,21
2011,141,3208,61,3199,59,N,0,24,66,8,19,5,8,15,21,9,12,11,0,18,19,54,8,19,13,23,18,27,14,19,5,2,13
2011,141,3257,85,3462,75,A,0,28,53,9,16,20,25,8,20,11,12,20,4,16,27,54,14,30,7,12,10,18,19,24,7,8,19
2011,141,3328,88,3274,83,N,0,29,68,11,29,19,22,17,28,22,18,8,2,14,32,73,8,23,11,15,15,24,16,15,9,3,20
2011,141,3401,70,3353,48,N,0,24,52,7,15,15,18,12,22,13,14,10,9,13,19,53,4,12,6,9,13,17,13,20,8,5,17
2011,141,3453,65,3277,56,N,0,21,44,5,8,18,25,4,21,14,19,13,2,15,22,59,6,18,6,9,18,22,14,25,10,2,22
2011,145,3211,76,3257,69,N,0,25,57,2,7,24,28,10,23,12,13,13,3,15,30,67,4,16,5,9,17,23,13,19,8,1,19
2011,145,3323,78,3328,53,N,0,28,59,9,18,13,18,14,33,24,24,14,4,13,23,55,1,11,6,9,2,22,14,24,7,3,17
2011,145,3390,72,3314,65,N,0,27,75,4,21,14,18,19,28,12,7,4,5,13,24,71,6,13,11,14,20,30,8,13,4,6,14
2011,145,3397,85,3326,75,N,0,36,77,3,8,10,16,20,26,20,9,5,3,12,31,62,7,16,6,8,5,24,20,13,3,9,17
2011,146,3124,86,3453,76,H,0,33,56,5,10,15,21,13,21,18,18,9,10,14,25,65,12,28,14,18,21,13,20,18,12,2,21
2011,146,3163,68,3207,63,N,0,24,62,8,24,12,17,19,25,20,18,8,2,10,24,62,10,27,5,10,16,21,13,16,9,5,17
2011,146,3181,70,3177,63,N,0,24,62,1,10,21,29,19,24,14,13,11,2,16,22,55,9,21,10,14,11,23,15,19,7,5,23
2011,146,3401,79,3208,38,H,0,28,64,10,20,13,17,17,34,16,9,7,5,14,15,60,4,19,4,13,16,22,10,14,4,7,13
2011,147,3323,73,3397,59,N,0,25,56,5,11,18,22,10,24,17,16,11,1,16,22,67,4,19,11,17,22,24,11,19,8,0,20
2011,147,3390,83,3211,60,N,0,31,54,9,20,12,20,13,36,14,18,1,2,12,23,68,6,21,8,10,11,14,12,6,6,1,12
2011,148,3163,75,3181,40,N,0,32,54,4,10,7,10,7,33,24,17,13,4,14,15,59,5,18,5,7,11,16,8,19,11,0,15
2011,148,3401,58,3124,46,A,0,21,61,2,17,14,20,12,24,9,13,11,2,16,15,48,1,6,15,25,12,27,7,20,2,4,18
2011,153,3323,72,3163,63,N,0,27,52,4,8,14,22,12,27,10,16,6,1,13,25,59,6,18,7,13,10,17,16,12,9,3,19
2011,153,3401,63,3390,62,N,0,23,65,7,20,10,10,13,16,10,12,7,5,19,23,46,3,6,13,19,10,29,13,22,8,8,18
2011,155,3401,76,3323,70,N,0,29,53,2,7,16,23,10,22,14,18,8,4,21,24,52,2,10,20,26,11,18,10,16,10,3,19
2012,138,3116,72,3173,55,N,0,26,66,6,14,14,18,16,31,17,8,7,1,12,21,59,8,28,5,10,9,28,16,12,2,5,18
2012,138,3163,83,3341,47,H,0,27,59,7,16,22,24,18,27,20,15,11,8,12,19,54,4,14,5,8,9,14,7,17,6,3,18
2012,138,3177,59,3140,55,N,0,23,54,3,11,10,17,7,25,7,15,14,3,11,20,59,6,24,9,10,14,29,17,20,8,5,18
2012,138,3211,86,3353,73,H,0,26,61,9,19,25,33,17,27,15,19,12,2,16,26,63,7,21,14,24,15,21,14,19,8,2,25
2012,138,3243,67,3343,64,N,0,25,54,5,15,12,14,7,22,16,10,2,4,14,26,61,3,12,9,12,16,24,8,14,5,0,10
2012,138,3246,68,3270,62,N,0,25,63,2,17,16,28,22,36,15,20,6,8,25,21,70,2,9,18,25,18,22,9,13,12,2,21
2012,138,3257,67,3277,55,N,0,24,59,4,15,15,19,16,24,15,12,9,4,9,25,61,3,16,2,6,13,21,14,14,7,3,17
2012,138,3268,59,3298,44,H,0,22,58,4,10,11,14,12,34,13,11,5,1,9,18,59,6,25,2,2,7,26,10,10,4,1,13
2012,138,3274,70,3226,41,N,0,24,52,3,13,19,28,18,27,10,20,12,4,16,13,52,3,20,12,17,13,15,6,20,9,6,18
2012,138,3345,83,3355,68,H,0,32,64,11,22,8,11,11,19,23,7,13,9,16,22,55,10,21,14,18,14,19,14,15,4,3,12
2012,138,3376,80,3185,48,N,0,32,60,5,19,11,14,11,27,22,17,11,11,18,16,60,0,3,16,22,16,20,10,17,6,3,12
2012,138,3390,73,3214,51,N,0,29,50,6,12,9,14,8,36,21,19,5,7,15,20,63,2,12,9,17,10,15,8,6,14,1,11
2012,138,3397,72,3404,49,N,0,28,70,10,27,6,10,18,34,15,8,8,10,9,19,66,4,20,7,8,13,26,12,8,3,4,12
2012,138,3401,69,3107,47,H,0,27,58,7,12,8,18,11,22,13,15,11,8,15,19,60,3,10,6,16,23,25,8,24,8,3,19
2012,138,3452,68,3400,55,N,0,24,50,6,14,14,18,11,31,17,18,5,4,19,19,68,5,14,12,20,22,19,9,11,11,2,19
2012,138,3453,71,3235,57,A,0,25,57,11,29,10,13,6,16,17,13,20,2,20,17,37,9,21,14,19,7,27,13,30,6,2,16
2012,139,3124,81,3364,40,N,0,27,46,4,8,23,36,12,28,15,13,6,5,11,16,60,2,14,6,7,15,15,9,16,4,1,25
2012,139,3143,84,3234,74,N,0,30,66,3,16,21,30,19,22,18,11,13,4,16,30,59,5,14,9,10,7,22,18,18,9,4,21
2012,139,3174,73,3114,42,N,0,28,63,7,12,10,15,13,27,12,7,7,4,13,16,52,2,12,8,15,13,26,6,19,1,5,15
2012,139,3181,82,3359,47,N,0,28,54,4,11,22,25,10,31,15,13,6,4,14,17,53,7,25,6,7,6,17,9,18,5,3,16
2012,139,3196,70,3326,65,N,0,26,74,9,21,9,13,20,26,14,10,3,2,12,28,59,4,11,5,10,6,29,13,13,7,11,12
2012,139,3207,61,3201,56,N,0,22,59,5,10,12,19,12,23,10,14,11,1,15,18,53,7,29,13,19,13,28,13,19,7,1,17
2012,139,3210,76,3357,50,N,0,27,51,8,12,14,19,11,20,13,19,12,3,13,20,51,5,18,5,11,9,16,15,20,10,0,18
2012,139,3242,57,3304,49,N,0,25,66,2,13,5,10,17,28,7,13,6,3,14,20,61,1,19,8,9,14,28,7,15,4,5,14
2012,139,3261,64,3361,56,N,0,18,47,2,9,26,35,12,31,12,10,1,3,16,22,55,5,17,7,20,11,21,9,9,7,3,27
2012,139,3265,76,3208,70,N,0,24,46,7,15,21,25,5,26,8,17,4,2,9,27,67,10,24,6,8,15,20,8,14,13,2,21
2012,139,3323,74,3251,43,N,0,32,66,4,13,6,10,15,23,25,11,9,1,15,13,42,4,12,13,20,9,20,5,23,6,5,11
2012,139,3328,88,3276,67,N,0,34,69,10,29,10,18,15,28,22,8,10,2,13,25,58,8,23,9,14,7,26,11,14,4,2,15
2012,139,3336,85,3431,77,N,0,27,65,6,15,25,31,12,24,10,13,6,5,15,28,67,4,10,17,21,15,30,14,17,9,5,20
2012,139,3382,72,3195,65,N,1,24,55,3,12,21,29,6,30,4,12,4,0,22,20,56,7,26,18,24,9,29,9,14,4,3,23
2012,139,3385,69,3166,67,N,0,24,48,2,4,19,25,9,25,9,16,9,3,12,24,53,7,21,12,12,4,20,17,14,10,2,16
2012,139,3435,60,3292,46,N,0,21,51,4,15,14,21,16,23,13,14,8,3,17,18,64,5,20,5,10,25,16,9,15,4,3,17
2012,140,3163,72,3243,26,N,0,28,55,7,20,9,12,12,33,15,16,11,6,9,10,57,4,26,2,5,16,16,3,20,9,2,8
2012,140,3211,65,3274,54,N,0,25,58,4,17,11,17,11,29,17,11,2,6,10,22,67,1,12,9,10,17,26,7,12,5,4,18
2012,140,3246,65,3453,62,N,0,25,49,4,10,11,16,11,28,15,34,11,4,16,21,60,5,17,15,17,12,18,14,24,21,1,19
2012,140,3268,72,3257,68,N,0,26,56,5,15,15,27,14,27,14,16,8,1,18,26,63,3,19,13,18,13,22,15,16,8,1,23
2012,140,3376,72,3345,61,N,0,28,57,6,16,10,20,10,20,11,12,11,2,15,22,56,4,10,13,17,16,24,16,20,6,5,21
2012,140,3390,72,3452,55,N,0,23,54,3,12,23,30,9,28,13,6,6,8,15,19,61,4,18,13,16,15,26,9,13,3,3,23
2012,140,3397,63,3177,48,N,0,22,59,4,17,15,18,17,34,9,20,7,4,10,20,64,3,17,5,5,10,21,10,14,11,2,14
2012,140,3401,61,3116,59,N,0,21,49,2,9,17,20,9,26,16,17,6,2,15,20,56,3,14,16,19,11,22,11,13,11,1,15
2012,141,3124,76,3196,57,N,0,24,55,4,10,24,33,17,26,14,15,9,7,12,23,70,4,19,7,12,24,19,14,18,9,4,23
2012,141,3181,96,3435,80,N,0,42,64,7,11,5,7,11,19,28,13,11,5,16,29,62,12,26,10,15,17,12,15,18,6,2,12
2012,141,3210,76,3207,64,N,0,28,56,8,23,12,19,10,29,20,17,7,3,18,23,68,5,16,13,21,19,23,9,15,5,3,19
2012,141,3242,70,3174,64,N,0,30,60,6,16,4,12,8,26,14,9,4,3,19,21,56,2,14,20,24,12,28,10,13,3,2,14
2012,141,3323,73,3143,62,N,0,23,56,1,9,26,33,19,21,13,13,14,8,15,25,56,5,12,7,14,16,19,15,19,8,0,23
2012,141,3336,90,3261,80,N,0,29,65,7,17,25,29,10,25,9,12,10,2,19,27,73,4,17,22,24,22,27,15,18,7,2,22
2012,141,3382,66,3265,63,N,0,23,51,7,15,13,18,15,25,9,13,2,0,18,20,50,7,21,16,19,8,18,10,8,6,4,17
2012,141,3385,74,3328,70,N,0,27,65,4,10,16,19,11,20,14,8,7,2,21,23,48,4,11,20,24,8,29,16,19,3,4,17
2012,145,3124,83,3210,68,N,0,30,56,1,6,22,30,13,20,14,11,9,10,12,26,70,10,19,6,9,25,19,11,20,8,3,24
2012,145,3181,74,3385,47,N,0,29,54,4,13,12,16,8,27,17,15,15,5,11,20,58,2,12,5,7,12,19,15,19,7,1,12
2012,145,3390,76,3376,60,N,0,28,53,1,1,19,25,9,27,15,11,5,9,11,25,68,4,12,6,10,18,20,10,11,7,3,19
2012,145,3397,84,3242,73,N,0,29,66,5,18,21,24,16,25,15,8,6,1,12,31,66,4,14,7,11,11,21,13,9,4,2,15
2012,146,3163,77,3336,59,N,0,33,67,4,18,7,8,12,32,15,14,8,4,16,22,61,4,18,11,16,11,19,8,15,9,2,13
2012,146,3246,79,3211,62,N,0,27,61,12,21,13,22,17,27,18,14,9,2,14,27,67,1,6,7,9,14,20,12,10,8,1,19
2012,146,3268,81,3401,74,N,0,30,62,4,8,17,22,14,28,14,18,8,4,14,28,64,5,16,13,16,10,20,14,14,10,4,19
2012,146,3323,79,3382,35,N,0,32,61,5,10,10,13,14,31,18,15,13,5,15,9,48,1,12,16,22,11,17,2,21,8,2,16
2012,147,3124,77,3397,58,N,0,26,62,8,15,17,22,16,31,14,13,4,10,13,23,76,4,21,8,12,24,23,11,11,7,3,20
2012,147,3390,81,3181,69,N,0,30,60,7,18,14,20,12,24,21,11,9,2,13,25,63,3,14,16,16,13,22,10,11,5,1,18
2012,148,3163,80,3246,65,N,0,23,45,4,15,30,35,12,28,21,18,7,3,19,19,61,6,21,21,22,14,12,8,10,8,1,23
2012,148,3323,80,3268,49,N,0,32,65,3,11,13,17,19,27,21,17,10,2,11,22,56,0,8,5,8,10,17,10,21,9,3,12
2012,153,3124,59,3390,47,N,0,19,52,2,8,19,26,13,29,8,7,4,2,9,20,60,2,17,5,7,12,22,8,8,3,5,17
2012,153,3323,83,3163,75,N,1,29,72,5,14,20,27,20,23,16,16,14,7,14,31,68,3,13,10,13,15,27,13,21,10,8,18
2012,155,3124,80,3323,61,N,0,29,58,4,11,18,21,16,30,20,11,2,6,13,22,62,5,13,12,16,12,15,13,7,6,4,19
2013,138,3143,90,3201,76,N,0,35,67,4,11,16,24,16,35,23,14,8,6,13,26,68,12,29,12,14,7,21,14,10,9,2,20
2013,138,3163,105,3225,37,H,0,42,69,11,22,10,13,12,33,28,6,14,8,7,14,53,8,26,1,2,6,17,9,21,4,3,11
2013,138,3166,61,3393,56,N,0,20,55,11,36,10,11,16,27,17,19,4,1,17,18,58,3,19,17,22,16,19,12,12,12,2,13
