Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot
2017,15,1203,77,1373,75,H,0
2017,15,1216,82,1310,78,H,1
2017,15,1232,80,1123,74,A,1
2017,15,1242,77,1181,75,N,0
2017,15,1243,81,1303,68,H,0
2017,15,1246,69,1277,48,N,0
2017,15,1247,74,1174,68,H,0
2017,15,1261,78,1379,61,H,0
2017,15,1268,76,1207,75,A,0
2017,15,1282,68,1179,62,H,0
2017,15,1292,87,1293,81,H,0
2017,15,1314,93,1253,67,H,0
2017,15,1336,85,1213,76,H,0
2017,15,1337,69,1451,68,H,0
2017,15,1339,79,1363,66,A,0
2017,15,1357,90,1220,86,H,0
2017,15,1372,66,1255,60,H,0
2017,15,1376,70,1284,69,H,1
2017,15,1390,96,1169,69,H,0
2017,15,1393,90,1221,46,H,0
2017,15,1397,103,1111,94,H,0
2017,15,1403,70,1317,43,H,0
2017,15,1405,103,1464,98,H,1
2017,15,1406,78,1288,72,A,0
2017,15,1433,64,1251,59,A,0
2017,15,1435,80,1125,66,H,0
2017,15,1438,72,1383,32,H,0
2017,15,1439,99,1219,73,H,0
2017,15,1457,94,1264,81,A,0
2017,15,1460,89,1275,87,H,0
2017,16,1126,75,1244,72,H,0
2017,16,1127,72,1148,70,H,0
2017,16,1137,75,1352,62,H,0
2017,16,1139,70,1321,68,H,0
2017,16,1143,75,1414,65,H,1
2017,16,1157,89,1164,59,H,0
2017,16,1159,67,1165,63,A,0
2017,16,1182,89,1384,75,H,0
2017,16,1195,85,1426,72,H,0
2017,16,1227,86,1427,78,H,0
2017,16,1229,75,1236,57,H,0
2017,16,1231,100,1262,78,H,0
2017,16,1245,93,1290,63,H,0
2017,16,1249,63,1333,60,A,0
2017,16,1254,65,1259,61,H,0
2017,16,1256,87,1106,56,H,0
2017,16,1267,85,1287,77,H,0
2017,16,1272,68,1454,54,H,0
2017,16,1274,94,1316,56,A,0
2017,16,1278,80,1291,56,H,0
2017,16,1296,63,1225,49,H,0
2017,16,1300,67,1441,59,A,0
2017,16,1308,58,1359,48,H,0
2017,16,1323,92,1370,49,H,0
2017,16,1329,117,1309,72,H,0
2017,16,1348,79,1135,72,H,0
2017,16,1351,84,1216,68,A,0
2017,16,1362,75,1364,63,A,0
2017,16,1368,84,1238,71,H,0
2017,16,1369,74,1442,71,A,0
2017,16,1388,110,1341,72,H,0
2017,16,1394,94,1410,72,A,0
2017,16,1411,71,1349,68,A,0
2017,16,1420,90,1175,68,H,0
2017,16,1424,74,1415,62,H,0
2017,16,1430,82,1226,73,H,0
2017,16,1436,76,1265,72,A,0
2017,16,1443,74,1240,67,H,0
2017,16,1455,80,1409,53,H,0
2017,17,1101,65,1306,57,A,0
2017,17,1103,72,1110,62,H,0
2017,17,1117,78,1207,72,A,0
2017,17,1120,85,1184,64,H,0
2017,17,1140,96,1164,59,H,0
2017,17,1150,76,1187,64,H,0
2017,17,1155,95,1172,78,N,0
2017,17,1158,60,1129,47,H,0
2017,17,1160,89,1419,70,H,0
2017,17,1163,65,1258,62,A,0
2017,17,1176,74,1363,69,A,0
2017,17,1189,74,1378,61,A,0
2017,17,1196,73,1382,66,N,0
2017,17,1203,61,1115,41,H,0
2017,17,1208,84,1202,78,H,0
2017,17,1212,59,1299,55,H,0
2017,17,1248,84,1312,83,H,1
2017,17,1257,88,1253,56,H,0
2017,17,1269,70,1396,67,H,0
2017,17,1276,79,1266,61,N,0
2017,17,1320,82,1113,63,N,0
2017,17,1326,72,1344,67,H,0
2017,17,1328,89,1408,70,N,0
2017,17,1332,76,1434,54,H,0
2017,17,1353,66,1177,59,A,0
2017,17,1358,91,1380,83,H,0
2017,17,1371,91,1234,83,A,0
2017,17,1374,76,1338,67,N,0
2017,17,1387,74,1183,69,H,0
2017,17,1390,67,1451,49,H,0
2017,17,1399,95,1105,61,H,0
2017,17,1400,85,1186,52,H,0
2017,17,1412,74,1407,51,H,0
2017,17,1416,86,1280,61,N,0
2017,17,1417,88,1360,68,H,0
2017,17,1421,73,1367,57,A,0
2017,17,1437,76,1444,65,N,0
2017,17,1448,103,1431,81,N,0
2017,17,1449,104,1168,88,H,0
2017,17,1458,69,1152,51,H,0
2017,17,1462,83,1281,82,N,1
2017,17,1463,89,1250,81,H,1
2017,18,1104,77,1123,59,H,0
2017,18,1112,95,1357,65,H,0
2017,18,1113,80,1408,71,N,0
2017,18,1116,71,1426,67,H,0
2017,18,1122,77,1297,69,N,0
2017,18,1124,81,1195,72,H,0
2017,18,1131,65,1318,63,H,0
2017,18,1133,84,1369,78,H,0
2017,18,1145,78,1182,77,A,0
2017,18,1154,116,1391,112,A,0
2017,18,1166,103,1450,77,N,0
2017,18,1172,70,1281,55,N,0
2017,18,1174,68,1275,66,A,0
2017,18,1180,87,1216,73,H,0
2017,18,1185,76,1205,68,N,0
2017,18,1199,100,1457,86,H,0
2017,18,1200,68,1192,55,H,0
2017,18,1211,109,1136,70,H,0
2017,18,1219,63,1422,57,H,0
2017,18,1225,65,1114,57,A,0
2017,18,1228,89,1178,69,H,0
2017,18,1237,77,1224,55,H,0
2017,18,1239,79,1464,54,N,0
2017,18,1242,86,1373,65,H,0
2017,18,1261,78,1316,70,H,0
2017,18,1264,80,1220,68,H,0
2017,18,1276,76,1374,54,N,0
2017,18,1277,100,1290,53,H,0
2017,18,1278,92,1385,86,H,0
2017,18,1279,95,1331,88,N,1
2017,18,1280,80,1129,68,N,0
2017,18,1286,80,1241,73,H,0
2017,18,1291,78,1206,76,A,1
2017,18,1295,66,1298,59,N,0
2017,18,1300,84,1238,75,H,0
2017,18,1301,85,1285,72,N,0
2017,18,1305,83,1333,58,H,0
2017,18,1307,72,1308,59,H,0
2017,18,1314,83,1218,68,A,0
2017,18,1320,73,1328,67,N,1
2017,18,1323,83,1259,48,H,0
2017,18,1325,67,1210,61,A,0
2017,18,1338,78,1266,75,N,0
2017,18,1345,64,1209,56,H,0
2017,18,1356,101,1188,83,A,0
2017,18,1375,69,1198,64,H,1
2017,18,1376,92,1354,50,H,0
2017,18,1386,71,1260,57,N,0
2017,18,1389,90,1252,77,N,0
2017,18,1393,71,1284,50,H,0
2017,18,1395,79,1240,60,H,0
2017,18,1404,85,1156,74,H,0
2017,18,1416,60,1158,40,A,0
2017,18,1425,65,1401,63,A,0
2017,18,1428,94,1164,51,H,0
2017,18,1431,85,1444,75,N,0
2017,18,1433,81,1127,42,H,0
2017,18,1435,75,1313,52,H,0
2017,18,1437,96,1448,77,N,0
2017,18,1462,83,1155,77,N,0
2017,19,1117,60,1119,57,A,0
2017,19,1125,90,1443,69,H,0
2017,19,1131,102,1263,78,H,0
2017,19,1139,86,1137,60,H,0
2017,19,1140,81,1157,65,H,0
2017,19,1151,75,1146,64,N,0
2017,19,1167,77,1364,70,H,0
2017,19,1169,84,1296,82,H,0
2017,19,1181,78,1336,68,N,0
2017,19,1183,73,1442,64,H,0
2017,19,1191,69,1287,56,H,0
2017,19,1192,90,1252,72,N,0
2017,19,1193,70,1447,64,A,1
2017,19,1200,63,1389,41,H,0
2017,19,1201,83,1249,64,H,0
2017,19,1205,94,1224,78,N,0
2017,19,1213,82,1107,77,N,0
2017,19,1219,69,1298,62,H,0
2017,19,1231,87,1251,48,H,0
2017,19,1236,94,1262,81,H,0
2017,19,1237,83,1185,71,H,0
2017,19,1239,78,1198,75,N,1
2017,19,1254,78,1318,74,N,0
2017,19,1260,78,1331,53,N,0
2017,19,1265,87,1135,79,N,0
2017,19,1267,98,1441,63,H,0
2017,19,1272,99,1366,86,H,0
2017,19,1274,74,1335,62,H,0
2017,19,1275,76,1122,70,H,0
2017,19,1282,71,1132,69,A,0
2017,19,1288,82,1144,66,H,0
2017,19,1293,93,1453,77,N,0
2017,19,1297,74,1174,53,N,0
2017,19,1304,65,1256,54,H,0
2017,19,1312,74,1159,68,H,0
2017,19,1324,107,1152,79,H,0
2017,19,1344,71,1212,54,H,0
2017,19,1348,76,1153,71,N,0
2017,19,1349,100,1303,87,A,0
2017,19,1365,88,1294,72,H,0
2017,19,1367,79,1149,77,A,0
2017,19,1375,84,1464,75,H,0
2017,19,1378,70,1351,65,H,0
2017,19,1388,61,1173,57,A,0
2017,19,1398,74,1292,63,A,0
2017,19,1403,90,1184,71,H,0
2017,19,1405,82,1460,78,A,0
2017,19,1409,77,1309,68,H,0
2017,19,1411,77,1247,76,A,0
2017,19,1414,72,1334,65,H,0
2017,19,1420,93,1244,85,H,0
2017,19,1422,65,1295,54,N,0
2017,19,1424,77,1168,68,H,0
2017,19,1427,69,1341,59,H,0
2017,19,1429,85,1226,51,H,0
2017,19,1439,88,1440,72,H,0
2017,19,1450,87,1285,63,N,0
2017,19,1456,89,1342,59,H,0
2017,19,1461,77,1355,67,H,0
2017,20,1102,87,1197,62,H,0
2017,20,1103,88,1347,41,H,0
2017,20,1107,80,1135,76,N,0
2017,20,1117,73,1151,67,N,0
2017,20,1122,76,1174,75,N,0
2017,20,1129,91,1444,70,N,0
2017,20,1130,82,1392,75,H,0
2017,20,1131,86,1254,69,H,0
2017,20,1146,81,1119,76,N,0
2017,20,1153,71,1336,50,N,0
2017,20,1165,82,1248,75,A,0
2017,20,1166,112,1301,94,N,0
2017,20,1172,68,1113,60,N,0
2017,20,1177,77,1454,59,H,0
2017,20,1180,83,1317,62,A,0
2017,20,1181,75,1348,65,N,0
2017,20,1187,73,1391,50,H,0
2017,20,1199,100,1178,71,H,0
2017,20,1200,85,1252,69,H,0
2017,20,1213,84,1265,72,N,0
2017,20,1234,95,1410,67,H,0
2017,20,1235,130,1154,63,H,0
2017,20,1243,89,1214,67,H,0
2017,20,1246,93,1182,59,H,0
2017,20,1250,76,1343,67,H,0
2017,20,1268,71,1406,66,H,0
2017,20,1269,68,1221,60,N,0
2017,20,1273,80,1204,67,H,0
2017,20,1277,78,1195,77,H,0
2017,20,1279,81,1386,68,N,0
2017,20,1280,61,1431,54,N,0
2017,20,1281,67,1408,62,N,0
2017,20,1282,85,1293,74,N,0
2017,20,1295,70,1219,44,A,0
2017,20,1297,79,1275,70,A,0
2017,20,1305,91,1233,76,H,0
2017,20,1308,89,1126,73,H,0
2017,20,1318,80,1263,72,N,0
2017,20,1328,70,1155,64,N,0
2017,20,1350,81,1352,69,H,0
2017,20,1353,78,1310,65,H,0
2017,20,1358,78,1399,71,A,0
2017,20,1360,81,1311,72,H,0
2017,20,1375,71,1239,58,H,0
2017,20,1389,84,1192,58,N,0
2017,20,1390,56,1161,49,H,0
2017,20,1396,88,1264,67,H,0
2017,20,1417,114,1253,77,H,0
2017,20,1421,92,1373,80,H,0
2017,20,1422,72,1298,59,N,0
2017,20,1423,68,1190,59,H,0
2017,20,1437,67,1416,57,N,0
2017,20,1438,62,1463,38,H,0
2017,20,1448,78,1158,61,A,0
2017,20,1449,92,1319,58,H,0
2017,20,1452,100,1306,41,H,0
2017,20,1453,77,1132,61,A,0
2017,20,1455,116,1271,79,H,0
2017,20,1462,67,1320,59,N,0
2017,20,1464,78,1198,73,N,0
2017,21,1112,71,1294,55,H,0
2017,21,1114,68,1382,65,N,0
2017,21,1123,79,1164,77,N,0
2017,21,1132,78,1293,77,H,0
2017,21,1137,75,1435,72,A,0
2017,21,1139,91,1313,55,H,0
2017,21,1140,92,1387,62,N,0
2017,21,1141,88,1337,77,N,0
2017,21,1157,83,1381,68,N,0
2017,21,1162,86,1346,78,A,0
2017,21,1166,86,1279,77,N,0
2017,21,1183,71,1407,67,H,0
2017,21,1186,81,1136,77,H,0
2017,21,1196,78,1125,61,N,0
2017,21,1207,65,1332,61,N,0
2017,21,1208,81,1203,73,N,0
2017,21,1220,92,1133,90,N,0
2017,21,1222,93,1206,56,N,0
2017,21,1225,96,1355,89,H,1
2017,21,1242,83,1412,63,N,0
2017,21,1251,84,1262,77,H,0
2017,21,1254,71,1263,66,N,0
2017,21,1260,88,1450,79,N,0
2017,21,1267,71,1238,61,H,0
2017,21,1285,68,1331,47,N,0
2017,21,1301,73,1386,63,N,0
2017,21,1321,77,1400,58,N,0
2017,21,1323,89,1160,83,N,0
2017,21,1326,66,1441,38,H,0
2017,21,1329,98,1163,90,N,0
2017,21,1344,64,1383,48,H,0
2017,21,1349,83,1286,78,H,0
2017,21,1356,73,1291,63,H,0
2017,21,1359,66,1144,53,A,0
2017,21,1361,77,1143,65,N,0
2017,21,1365,84,1357,74,H,0
2017,21,1370,81,1419,75,N,1
2017,21,1377,80,1245,77,N,0
2017,21,1379,63,1105,55,H,0
2017,21,1394,73,1402,69,A,0
2017,21,1395,80,1229,71,H,0
2017,21,1404,72,1145,69,A,0
2017,21,1411,67,1241,56,A,0
2017,21,1413,81,1170,72,N,0
2017,21,1418,83,1175,82,H,0
2017,21,1434,68,1104,60,N,0
2017,21,1436,60,1459,59,N,0
2017,21,1453,95,1282,77,N,0
2017,21,1457,84,1228,80,A,1
2017,21,1458,74,1397,62,N,0
2017,22,1102,85,1391,72,H,0
2017,22,1103,75,1204,67,H,0
2017,22,1117,75,1188,57,H,0
2017,22,1120,67,1403,65,N,0
2017,22,1130,80,1406,70,H,0
2017,22,1133,70,1459,62,N,0
2017,22,1136,64,1419,57,N,0
2017,22,1149,66,1101,65,A,0
2017,22,1160,68,1400,54,N,0
2017,22,1167,71,1201,63,H,0
2017,22,1184,91,1226,82,N,1
2017,22,1186,80,1370,76,H,2
2017,22,1187,82,1197,62,H,0
2017,22,1194,78,1378,62,H,0
2017,22,1206,79,1245,75,N,0
2017,22,1209,74,1312,53,N,0
2017,22,1210,81,1358,73,H,0
2017,22,1221,63,1217,52,A,0
2017,22,1222,85,1377,58,N,0
2017,22,1236,71,1231,68,H,1
2017,22,1242,65,1208,54,N,0
2017,22,1243,61,1352,40,H,0
2017,22,1244,79,1106,72,H,0
2017,22,1249,78,1427,58,H,0
2017,22,1262,76,1290,71,N,0
2017,22,1266,104,1237,79,H,0
2017,22,1268,77,1392,63,H,0
2017,22,1272,104,1270,65,H,0
2017,22,1273,58,1347,47,H,0
2017,22,1278,85,1116,71,H,0
2017,22,1284,76,1165,61,H,0
2017,22,1292,80,1405,70,H,0
2017,22,1308,86,1311,74,H,0
2017,22,1314,107,1329,75,N,0
2017,22,1323,70,1321,66,N,0
2017,22,1332,69,1397,65,N,1
2017,22,1334,73,1461,65,H,0
2017,22,1335,87,1148,65,A,0
2017,22,1337,66,1114,65,N,0
2017,22,1338,75,1463,70,H,0
2017,22,1342,77,1440,67,H,0
2017,22,1345,85,1429,64,N,0
2017,22,1350,65,1214,52,H,0
2017,22,1360,96,1126,91,H,3
2017,22,1367,108,1150,103,A,1
2017,22,1369,83,1410,72,H,0
2017,22,1374,84,1364,57,H,0
2017,22,1380,80,1399,68,H,0
2017,22,1382,102,1141,71,N,0
2017,22,1388,81,1363,64,H,0
2017,22,1393,101,1354,59,H,0
2017,22,1409,75,1333,64,H,0
2017,22,1412,81,1203,74,N,0
2017,22,1421,64,1202,58,A,0
2017,22,1424,110,1319,71,H,0
2017,22,1425,88,1309,54,H,0
2017,22,1436,87,1220,73,N,0
2017,22,1438,90,1212,34,H,0
2017,22,1443,77,1299,56,H,0
2017,22,1447,73,1110,65,A,0
2017,22,1449,94,1253,88,H,0
2017,22,1458,73,1207,57,N,0
2017,23,1104,62,1387,57,N,0
2017,23,1111,70,1216,61,A,0
2017,23,1113,127,1154,110,H,0
2017,23,1114,91,1141,79,N,0
2017,23,1119,88,1162,83,A,0
2017,23,1123,94,1381,83,N,0
2017,23,1124,71,1433,63,N,0
2017,23,1135,81,1288,75,H,0
2017,23,1142,68,1296,64,A,0
2017,23,1153,70,1359,55,H,0
2017,23,1161,76,1271,65,H,0
2017,23,1177,68,1283,66,H,0
2017,23,1181,88,1456,67,H,0
2017,23,1189,91,1227,80,N,0
2017,23,1195,69,1127,53,H,0
2017,23,1200,73,1351,62,H,0
2017,23,1206,77,1133,66,N,0
2017,23,1209,82,1184,65,N,0
2017,23,1220,65,1377,57,N,0
2017,23,1222,72,1436,71,N,0
2017,23,1245,66,1459,59,N,0
2017,23,1246,101,1156,70,H,0
2017,23,1251,70,1290,55,H,0
2017,23,1257,68,1330,62,N,1
2017,23,1259,81,1193,66,H,0
2017,23,1277,73,1385,62,N,0
2017,23,1298,78,1420,66,H,0
2017,23,1305,82,1324,78,N,0
2017,23,1306,86,1178,70,H,0
2017,23,1310,93,1180,74,H,0
2017,23,1312,71,1226,67,N,0
2017,23,1314,71,1458,56,N,0
2017,23,1326,78,1238,47,H,0
2017,23,1329,97,1207,70,N,0
2017,23,1332,79,1163,69,N,0
2017,23,1336,72,1159,59,H,0
2017,23,1343,71,1248,55,A,0
2017,23,1345,96,1120,71,N,0
2017,23,1349,80,1175,58,H,0
2017,23,1353,66,1317,53,H,0
2017,23,1362,79,1407,67,H,0
2017,23,1368,72,1431,56,A,0
2017,23,1373,66,1115,43,H,0
2017,23,1376,61,1276,46,H,0
2017,23,1382,89,1337,63,N,0
2017,23,1384,87,1255,72,H,0
2017,23,1398,72,1145,58,A,0
2017,23,1403,75,1429,51,N,0
2017,23,1404,66,1182,63,A,0
2017,23,1418,82,1241,70,A,0
2017,23,1426,80,1291,71,H,0
2017,23,1430,88,1176,85,A,0
2017,23,1434,92,1140,89,N,0
2017,23,1437,63,1158,47,H,0
2017,23,1448,86,1157,74,H,0
2017,23,1455,82,1261,47,N,0
2017,24,1112,69,1365,61,N,0
2017,24,1124,73,1277,58,N,0
2017,24,1127,72,1253,64,N,0
2017,24,1137,84,1313,58,N,0
2017,24,1139,76,1435,66,N,0
2017,24,1196,81,1371,76,N,0
2017,24,1211,82,1346,62,N,0
2017,24,1233,64,1179,53,N,0
2017,24,1235,73,1232,71,N,0
2017,24,1257,62,1455,52,N,0
2017,24,1261,66,1330,60,N,0
2017,24,1274,67,1390,53,N,0
2017,24,1279,86,1285,81,H,0
2017,24,1294,81,1357,59,N,0
2017,24,1304,80,1173,78,N,0
2017,24,1396,89,1199,86,N,0
2017,24,1401,95,1169,73,N,0
2017,24,1417,99,1339,77,N,0
2017,24,1433,75,1385,69,N,0
2017,24,1439,92,1307,72,N,0
2017,24,1451,86,1413,58,N,0
2017,24,1452,89,1228,57,N,0
2017,25,1103,84,1102,75,N,0
2017,25,1124,66,1257,63,N,0
2017,25,1129,82,1342,56,H,0
2017,25,1137,75,1294,63,N,0
2017,25,1139,69,1112,65,N,0
2017,25,1143,71,1461,61,H,0
2017,25,1155,83,1219,74,H,0
