season,daynum,wteam,lteam,slot,host,lat,lng
1985,138,1328,1229,R2Y1,dayton,39.7594,-84.1917
1985,138,1256,1326,R2Y4,dayton,39.7594,-84.1917
1985,138,1314,1323,R2Z2,albuquerque,35.1107,-106.61
1985,138,1120,1242,R2Z3,albuquerque,35.1107,-106.61
1985,139,1210,1393,R2W2,atlanta,33.755,-84.39
1985,139,1228,1208,R2W3,atlanta,33.755,-84.39
1985,139,1104,1433,R2X2,houston,29.7604,-95.3698
1985,139,1301,1431,R2X3,houston,29.7604,-95.3698
1985,139,1272,1412,R2Y2,south_bend,41.6725,-86.2553
1985,139,1130,1181,R2Y3,south_bend,41.6725,-86.2553
1985,139,1437,1276,R2Z1,salt_lake_city,40.75,-111.8833
1985,139,1268,1298,R2Z4,salt_lake_city,40.75,-111.8833
1985,143,1207,1260,R3W1,providence,41.8236,-71.4222
1985,143,1210,1228,R3W2,providence,41.8236,-71.4222
1985,143,1328,1256,R3Y1,birmingham,33.525,-86.813
1985,143,1272,1130,R3Y2,birmingham,33.525,-86.813
1985,144,1385,1246,R3X1,dallas,32.7767,-96.797
1985,144,1301,1104,R3X2,dallas,32.7767,-96.797
1985,144,1437,1268,R3Z1,denver,39.7392,-104.9903
1985,144,1314,1120,R3Z2,denver,39.7392,-104.9903
1985,145,1207,1210,R4W1,providence,41.8236,-71.4222
1985,145,1272,1328,R4Y1,birmingham,33.525,-86.813
1985,146,1385,1301,R4X1,dallas,32.7767,-96.797
1985,146,1437,1314,R4Z1,denver,39.7392,-104.9903
1985,152,1207,1385,R5WX,lexington,38.0297,-84.4947
1985,152,1437,1272,R5YZ,lexington,38.0297,-84.4947
1985,154,1437,1207,R6CH,lexington,38.0297,-84.4947
1986,136,1181,1290,R1W1,greensboro,36.08,-79.8194
1986,136,1328,1318,R1W4,greensboro,36.08,-79.8194
1986,136,1177,1438,R1W5,greensboro,36.08,-79.8194
1986,136,1330,1452,R1W8,greensboro,36.08,-79.8194
1986,136,1242,1299,R1X1,dayton,39.7594,-84.1917
1986,136,1207,1403,R1X4,dayton,39.7594,-84.1917
1986,136,1277,1449,R1X5,dayton,39.7594,-84.1917
1986,136,1396,1239,R1X8,dayton,39.7594,-84.1917
1986,136,1210,1265,R1Y2,baton_rouge,30.45,91.14
1986,136,1272,1123,R1Y3,baton_rouge,30.45,91.14
1986,136,1261,1345,R1Y6,baton_rouge,30.45,91.14
1986,136,1437,1439,R1Y7,baton_rouge,30.45,91.14
1986,136,1257,1180,R1Z2,ogden,41.2278,-111.9611
1986,136,1314,1428,R1Z3,ogden,41.2278,-111.9611
1986,136,1412,1281,R1Z6,ogden,41.2278,-111.9611
1986,136,1133,1431,R1Z7,ogden,41.2278,-111.9611
1986,137,1393,1135,R1W2,syracuse,43.0469,-76.1444
1986,137,1156,1231,R1W3,syracuse,43.0469,-76.1444
1986,137,1386,1350,R1W6,syracuse,43.0469,-76.1444
1986,137,1298,1409,R1W7,syracuse,43.0469,-76.1444
1986,137,1276,1103,R1X2,minneapolis,44.9778,-93.265
1986,137,1114,1323,R1X3,minneapolis,44.9778,-93.265
1986,137,1301,1234,R1X6,minneapolis,44.9778,-93.265
1986,137,1235,1275,R1X7,minneapolis,44.9778,-93.265
1986,137,1246,1172,R1Y1,charlotte,35.2269,-80.8433
1986,137,1228,1193,R1Y4,charlotte,35.2269,-80.8433
1986,137,1104,1462,R1Y5,charlotte,35.2269,-80.8433
1986,137,1443,1304,R1Y8,charlotte,35.2269,-80.8433
1986,137,1385,1286,R1Z1,long_beach,33.7683,-118.1956
1986,137,1424,1419,R1Z4,long_beach,33.7683,-118.1956
1986,137,1268,1337,R1Z5,long_beach,33.7683,-118.1956
1986,137,1120,1112,R1Z8,long_beach,33.7683,-118.1956
1986,138,1181,1330,R2W1,greensboro,36.08,-79.8194
1986,138,1177,1328,R2W4,greensboro,36.08,-79.8194
1986,138,1242,1396,R2X1,dayton,39.7594,-84.1917
1986,138,1277,1207,R2X4,dayton,39.7594,-84.1917
1986,138,1210,1437,R2Y2,baton_rouge,30.45,91.14
1986,138,1261,1272,R2Y3,baton_rouge,30.45,91.14
1986,138,1257,1133,R2Z2,ogden,41.2278,-111.9611
1986,138,1314,1412,R2Z3,ogden,41.2278,-111.9611
1986,139,1298,1393,R2W2,syracuse,43.0469,-76.1444
1986,139,1156,1386,R2W3,syracuse,43.0469,-76.1444
1986,139,1235,1276,R2X2,minneapolis,44.9778,-93.265
1986,139,1301,1114,R2X3,minneapolis,44.9778,-93.265
1986,139,1246,1443,R2Y1,charlotte,35.2269,-80.8433
1986,139,1104,1228,R2Y4,charlotte,35.2269,-80.8433
1986,139,1120,1385,R2Z1,long_beach,33.7683,-118.1956
1986,139,1424,1268,R2Z4,long_beach,33.7683,-118.1956
1986,143,1246,1104,R3Y1,atlanta,33.755,-84.39
1986,143,1261,1210,R3Y2,atlanta,33.755,-84.39
1986,143,1120,1424,R3Z1,houston,29.7604,-95.3698
1986,143,1257,1314,R3Z2,houston,29.7604,-95.3698
1986,144,1181,1177,R3W1,east_rutherford,40.8171,-74.085
1986,144,1298,1156,R3W2,east_rutherford,40.8171,-74.085
1986,144,1242,1277,R3X1,kansas_city,39.0997,-94.5783
1986,144,1301,1235,R3X2,kansas_city,39.0997,-94.5783
1986,145,1261,1246,R4Y1,atlanta,33.755,-84.39
1986,145,1257,1120,R4Z1,houston,29.7604,-95.3698
1986,146,1181,1298,R4W1,east_rutherford,40.8171,-74.085
1986,146,1242,1301,R4X1,kansas_city,39.0997,-94.5783
1986,152,1181,1242,R5WX,dallas,32.7767,-96.797
1986,152,1257,1261,R5YZ,dallas,32.7767,-96.797
1986,154,1257,1181,R6CH,dallas,32.7767,-96.797
1987,136,1314,1335,R1W1,charlotte,35.2269,-80.8433
1987,136,1395,1267,R1W4,charlotte,35.2269,-80.8433
1987,136,1323,1292,R1W5,charlotte,35.2269,-80.8433
1987,136,1276,1298,R1W8,charlotte,35.2269,-80.8433
1987,136,1104,1299,R1X2,chicago,41.8369,-87.6847
1987,136,1122,1228,R1X3,chicago,41.8369,-87.6847
1987,136,1344,1412,R1X6,chicago,41.8369,-87.6847
1987,136,1309,1140,R1X7,chicago,41.8369,-87.6847
1987,136,1231,1193,R1Y1,atlanta,33.755,-84.39
1987,136,1462,1281,R1Y4,atlanta,33.755,-84.39
1987,136,1181,1401,R1Y5,atlanta,33.755,-84.39
1987,136,1120,1360,R1Y8,atlanta,33.755,-84.39
1987,136,1424,1226,R1Z1,salt_lake_city,40.75,-111.8833
1987,136,1417,1141,R1Z4,salt_lake_city,40.75,-111.8833
1987,136,1461,1438,R1Z5,salt_lake_city,40.75,-111.8833
1987,136,1243,1208,R1Z8,salt_lake_city,40.75,-111.8833
1987,137,1393,1204,R1W2,syracuse,43.0469,-76.1444
1987,137,1345,1318,R1W3,syracuse,43.0469,-76.1444
1987,137,1196,1301,R1W6,syracuse,43.0469,-76.1444
1987,137,1443,1452,R1W7,syracuse,43.0469,-76.1444
1987,137,1207,1137,R1X1,indianapolis,39.791,-86.148
1987,137,1283,1155,R1X4,indianapolis,39.791,-86.148
1987,137,1242,1222,R1X5,indianapolis,39.791,-86.148
1987,137,1326,1246,R1X8,indianapolis,39.791,-86.148
1987,137,1396,1380,R1Y2,birmingham,33.525,-86.813
1987,137,1177,1256,R1Y3,birmingham,33.525,-86.813
1987,137,1385,1455,R1Y6,birmingham,33.525,-86.813
1987,137,1261,1210,R1Y7,birmingham,33.525,-86.813
1987,137,1234,1365,R1Z2,tucson,32.2217,-110.9264
1987,137,1338,1265,R1Z3,tucson,32.2217,-110.9264
1987,137,1328,1409,R1Z6,tucson,32.2217,-110.9264
1987,137,1431,1112,R1Z7,tucson,32.2217,-110.9264
1987,138,1314,1276,R2W1,charlotte,35.2269,-80.8433
1987,138,1323,1395,R2W4,charlotte,35.2269,-80.8433
1987,138,1104,1309,R2X2,chicago,41.8369,-87.6847
1987,138,1344,1122,R2X3,chicago,41.8369,-87.6847
1987,138,1231,1120,R2Y1,atlanta,33.755,-84.39
1987,138,1181,1462,R2Y4,atlanta,33.755,-84.39
1987,138,1424,1243,R2Z1,salt_lake_city,40.75,-111.8833
1987,138,1461,1417,R2Z4,salt_lake_city,40.75,-111.8833
1987,139,1393,1443,R2W2,syracuse,43.0469,-76.1444
1987,139,1196,1345,R2W3,syracuse,43.0469,-76.1444
1987,139,1207,1326,R2X1,indianapolis,39.791,-86.148
1987,139,1242,1283,R2X4,indianapolis,39.791,-86.148
1987,139,1261,1396,R2Y2,birmingham,33.525,-86.813
1987,139,1177,1385,R2Y3,birmingham,33.525,-86.813
1987,139,1234,1431,R2Z2,tucson,32.2217,-110.9264
1987,139,1328,1338,R2Z3,tucson,32.2217,-110.9264
1987,143,1314,1323,R3W1,east_rutherford,40.8171,-74.085
1987,143,1393,1196,R3W2,east_rutherford,40.8171,-74.085
1987,143,1207,1242,R3X1,cincinnati,39.1,-84.5167
1987,143,1344,1104,R3X2,cincinnati,39.1,-84.5167
1987,144,1231,1181,R3Y1,louisville,38.25,-85.7667
1987,144,1261,1177,R3Y2,louisville,38.25,-85.7667
1987,144,1424,1461,R3Z1,seattle,47.6097,-122.3331
1987,144,1234,1328,R3Z2,seattle,47.6097,-122.3331
1987,145,1393,1314,R4W1,east_rutherford,40.8171,-74.085
1987,145,1344,1207,R4X1,cincinnati,39.1,-84.5167
1987,146,1231,1261,R4Y1,louisville,38.25,-85.7667
1987,146,1424,1234,R4Z1,seattle,47.6097,-122.3331
1987,152,1393,1344,R5WX,new_orleans,29.9667,-90.05
1987,152,1231,1424,R5YZ,new_orleans,29.9667,-90.05
1987,154,1231,1393,R6CH,new_orleans,29.9667,-90.05
1988,136,1181,1131,R1W2,chapel_hill,35.9333,-79.0333
1988,136,1393,1299,R1W3,chapel_hill,35.9333,-79.0333
1988,136,1348,1281,R1W6,chapel_hill,35.9333,-79.0333
1988,136,1374,1323,R1W7,chapel_hill,35.9333,-79.0333
1988,136,1345,1192,R1X1,south_bend,41.6725,-86.2553
1988,136,1243,1247,R1X4,south_bend,41.6725,-86.2553
1988,136,1177,1455,R1X5,south_bend,41.6725,-86.2553
1988,136,1272,1124,R1X8,south_bend,41.6725,-86.2553
1988,136,1328,1151,R1Y1,atlanta,33.755,-84.39
1988,136,1140,1150,R1Y4,atlanta,33.755,-84.39
1988,136,1257,1333,R1Y5,atlanta,33.755,-84.39
1988,136,1120,1133,R1Y8,atlanta,33.755,-84.39
1988,136,1314,1317,R1Z2,salt_lake_city,40.75,-111.8833
1988,136,1276,1129,R1Z3,salt_lake_city,40.75,-111.8833
1988,136,1196,1385,R1Z6,salt_lake_city,40.75,-111.8833
1988,136,1258,1461,R1Z7,salt_lake_city,40.75,-111.8833
1988,137,1396,1250,R1W1,hartford,41.7627,-72.6743
1988,137,1350,1231,R1W4,hartford,41.7627,-72.6743
1988,137,1210,1235,R1W5,hartford,41.7627,-72.6743
1988,137,1207,1261,R1W8,hartford,41.7627,-72.6743
1988,137,1338,1185,R1X2,lincoln,40.8106,-96.6803
1988,137,1293,1301,R1X3,lincoln,40.8106,-96.6803
1988,137,1242,1462,R1X6,lincoln,40.8106,-96.6803
1988,137,1435,1429,R1X7,lincoln,40.8106,-96.6803
1988,137,1246,1380,R1Y2,cincinnati,39.1,-84.5167
1988,137,1228,1427,R1Y3,cincinnati,39.1,-84.5167
1988,137,1437,1116,R1Y6,cincinnati,39.1,-84.5167
1988,137,1268,1364,R1Y7,cincinnati,39.1,-84.5167
1988,137,1112,1165,R1Z1,los_angeles,34.05,-118.25
1988,137,1424,1283,R1Z4,los_angeles,34.05,-118.25
1988,137,1234,1199,R1Z5,los_angeles,34.05,-118.25
1988,137,1371,1431,R1Z8,los_angeles,34.05,-118.25
1988,138,1181,1374,R2W2,chapel_hill,35.9333,-79.0333
1988,138,1348,1393,R2W3,chapel_hill,35.9333,-79.0333
1988,138,1345,1272,R2X1,south_bend,41.6725,-86.2553
1988,138,1243,1177,R2X4,south_bend,41.6725,-86.2553
1988,138,1328,1120,R2Y1,atlanta,33.755,-84.39
1988,138,1257,1140,R2Y4,atlanta,33.755,-84.39
1988,138,1314,1258,R2Z2,salt_lake_city,40.75,-111.8833
1988,138,1276,1196,R2Z3,salt_lake_city,40.75,-111.8833
1988,139,1396,1207,R2W1,hartford,41.7627,-72.6743
1988,139,1350,1210,R2W4,hartford,41.7627,-72.6743
1988,139,1435,1338,R2X2,lincoln,40.8106,-96.6803
1988,139,1242,1293,R2X3,lincoln,40.8106,-96.6803
1988,139,1246,1268,R2Y2,cincinnati,39.1,-84.5167
1988,139,1437,1228,R2Y3,cincinnati,39.1,-84.5167
1988,139,1112,1371,R2Z1,los_angeles,34.05,-118.25
1988,139,1234,1424,R2Z4,los_angeles,34.05,-118.25
1988,143,1396,1350,R3W1,east_rutherford,40.8171,-74.085
1988,143,1181,1348,R3W2,east_rutherford,40.8171,-74.085
1988,143,1328,1257,R3Y1,birmingham,33.525,-86.813
1988,143,1437,1246,R3Y2,birmingham,33.525,-86.813
1988,144,1243,1345,R3X1,pontiac,42.6461,-83.2925
1988,144,1242,1435,R3X2,pontiac,42.6461,-83.2925
1988,144,1112,1234,R3Z1,seattle,47.6097,-122.3331
1988,144,1314,1276,R3Z2,seattle,47.6097,-122.3331
1988,145,1181,1396,R4W1,east_rutherford,40.8171,-74.085
1988,145,1328,1437,R4Y1,birmingham,33.525,-86.813
1988,146,1242,1243,R4X1,pontiac,42.6461,-83.2925
1988,146,1112,1314,R4Z1,seattle,47.6097,-122.3331
1988,152,1242,1181,R5WX,kansas_city,39.0997,-94.5783
1988,152,1328,1112,R5YZ,kansas_city,39.0997,-94.5783
1988,154,1242,1328,R6CH,kansas_city,39.0997,-94.5783
1989,136,1181,1354,R1W2,greensboro,36.08,-79.8194
1989,136,1373,1390,R1W3,greensboro,36.08,-79.8194
1989,136,1278,1243,R1W6,greensboro,36.08,-79.8194
1989,136,1452,1397,R1W7,greensboro,36.08,-79.8194
1989,136,1112,1352,R1X1,indianapolis,39.791,-86.148
1989,136,1424,1225,R1X4,indianapolis,39.791,-86.148
1989,136,1177,1272,R1X5,indianapolis,39.791,-86.148
1989,136,1155,1388,R1X8,indianapolis,39.791,-86.148
1989,136,1228,1270,R1Y1,nashville,36.1667,-86.7833
1989,136,1257,1114,R1Y4,nashville,36.1667,-86.7833
1989,136,1116,1258,R1Y5,nashville,36.1667,-86.7833
1989,136,1123,1338,R1Y8,nashville,36.1667,-86.7833
1989,136,1328,1190,R1Z1,boise,43.6167,-116.2
1989,136,1292,1199,R1Z4,boise,43.6167,-116.2
1989,136,1438,1344,R1Z5,boise,43.6167,-116.2
1989,136,1256,1247,R1Z8,boise,43.6167,-116.2
1989,137,1207,1343,R1W1,providence,41.8236,-71.4222
1989,137,1234,1353,R1W4,providence,41.8236,-71.4222
1989,137,1301,1376,R1W5,providence,41.8236,-71.4222
1989,137,1323,1435,R1W8,providence,41.8236,-71.4222
1989,137,1231,1206,R1X2,dallas,32.7767,-96.797
1989,137,1371,1283,R1X3,dallas,32.7767,-96.797
1989,137,1191,1333,R1X6,dallas,32.7767,-96.797
1989,137,1431,1261,R1X7,dallas,32.7767,-96.797
1989,137,1393,1137,R1Y2,atlanta,33.755,-84.39
1989,137,1281,1166,R1Y3,atlanta,33.755,-84.39
1989,137,1400,1210,R1Y6,atlanta,33.755,-84.39
1989,137,1161,1196,R1Y7,atlanta,33.755,-84.39
1989,137,1314,1380,R1Z2,tucson,32.2217,-110.9264
1989,137,1276,1462,R1Z3,tucson,32.2217,-110.9264
1989,137,1375,1104,R1Z6,tucson,32.2217,-110.9264
1989,137,1417,1235,R1Z7,tucson,32.2217,-110.9264
1989,138,1181,1452,R2W2,greensboro,36.08,-79.8194
1989,138,1278,1373,R2W3,greensboro,36.08,-79.8194
1989,138,1112,1155,R2X1,indianapolis,39.791,-86.148
1989,138,1424,1177,R2X4,indianapolis,39.791,-86.148
1989,138,1228,1123,R2Y1,nashville,36.1667,-86.7833
1989,138,1257,1116,R2Y4,nashville,36.1667,-86.7833
1989,138,1328,1256,R2Z1,boise,43.6167,-116.2
1989,138,1438,1292,R2Z4,boise,43.6167,-116.2
1989,139,1207,1323,R2W1,providence,41.8236,-71.4222
1989,139,1301,1234,R2W4,providence,41.8236,-71.4222
1989,139,1231,1431,R2X2,dallas,32.7767,-96.797
1989,139,1371,1191,R2X3,dallas,32.7767,-96.797
1989,139,1393,1161,R2Y2,atlanta,33.755,-84.39
1989,139,1281,1400,R2Y3,atlanta,33.755,-84.39
1989,139,1314,1417,R2Z2,tucson,32.2217,-110.9264
1989,139,1276,1375,R2Z3,tucson,32.2217,-110.9264
1989,143,1424,1112,R3X1,minneapolis,44.9778,-93.265
1989,143,1371,1231,R3X2,minneapolis,44.9778,-93.265
1989,143,1438,1328,R3Z1,denver,39.7392,-104.9903
1989,143,1276,1314,R3Z2,denver,39.7392,-104.9903
1989,144,1207,1301,R3W1,east_rutherford,40.8171,-74.085
1989,144,1181,1278,R3W2,east_rutherford,40.8171,-74.085
1989,144,1228,1257,R3Y1,lexington,38.0297,-84.4947
1989,144,1393,1281,R3Y2,lexington,38.0297,-84.4947
1989,145,1371,1424,R4X1,minneapolis,44.9778,-93.265
1989,145,1276,1438,R4Z1,denver,39.7392,-104.9903
1989,146,1181,1207,R4W1,east_rutherford,40.8171,-74.085
1989,146,1228,1393,R4Y1,lexington,38.0297,-84.4947
1989,152,1371,1181,R5WX,seattle,47.6097,-122.3331
1989,152,1276,1228,R5YZ,seattle,47.6097,-122.3331
1989,154,1276,1371,R6CH,seattle,47.6097,-122.3331
1990,136,1163,1131,R1W1,hartford,41.7627,-72.6743
1990,136,1247,1379,R1W4,hartford,41.7627,-72.6743
1990,136,1155,1140,R1W5,hartford,41.7627,-72.6743
1990,136,1143,1231,R1W8,hartford,41.7627,-72.6743
1990,136,1328,1406,R1X1,austin,30.25,-97.75
1990,136,1116,1343,R1X4,austin,30.25,-97.75
1990,136,1173,1228,R1X5,austin,30.25,-97.75
1990,136,1314,1283,R1X8,austin,30.25,-97.75
1990,136,1277,1293,R1Y1,knoxville,35.9728,-83.9422
1990,136,1210,1190,R1Y4,knoxville,35.9728,-83.9422
1990,136,1261,1437,R1Y5,knoxville,35.9728,-83.9422
1990,136,1364,1222,R1Y8,knoxville,35.9728,-83.9422
1990,136,1424,1114,R1Z1,salt_lake_city,40.75,-111.8833
1990,136,1257,1225,R1Z4,salt_lake_city,40.75,-111.8833
1990,136,1123,1333,R1Z5,salt_lake_city,40.75,-111.8833
1990,136,1326,1344,R1Z8,salt_lake_city,40.75,-111.8833
1990,137,1242,1352,R1W2,atlanta,33.755,-84.39
1990,137,1181,1350,R1W3,atlanta,33.755,-84.39
1990,137,1385,1396,R1W6,atlanta,33.755,-84.39
1990,137,1417,1412,R1W7,atlanta,33.755,-84.39
1990,137,1345,1419,R1X2,indianapolis,39.791,-86.148
1990,137,1207,1411,R1X3,indianapolis,39.791,-86.148
1990,137,1462,1243,R1X6,indianapolis,39.791,-86.148
1990,137,1400,1208,R1X7,indianapolis,39.791,-86.148
1990,137,1393,1164,R1Y2,richmond,37.5333,-77.4667
1990,137,1320,1281,R1Y3,richmond,37.5333,-77.4667
1990,137,1278,1431,R1Y6,richmond,37.5333,-77.4667
1990,137,1438,1323,R1Y7,richmond,37.5333,-77.4667
1990,137,1112,1378,R1Z2,long_beach,33.7683,-118.1956
1990,137,1276,1229,R1Z3,long_beach,33.7683,-118.1956
1990,137,1258,1308,R1Z6,long_beach,33.7683,-118.1956
1990,137,1104,1161,R1Z7,long_beach,33.7683,-118.1956
1990,138,1163,1143,R2W1,hartford,41.7627,-72.6743
1990,138,1155,1247,R2W4,hartford,41.7627,-72.6743
1990,138,1314,1328,R2X1,austin,30.25,-97.75
1990,138,1116,1173,R2X4,austin,30.25,-97.75
1990,138,1277,1364,R2Y1,knoxville,35.9728,-83.9422
1990,138,1210,1261,R2Y4,knoxville,35.9728,-83.9422
1990,138,1424,1326,R2Z1,salt_lake_city,40.75,-111.8833
1990,138,1123,1257,R2Z4,salt_lake_city,40.75,-111.8833
1990,139,1417,1242,R2W2,atlanta,33.755,-84.39
1990,139,1181,1385,R2W3,atlanta,33.755,-84.39
1990,139,1400,1345,R2X2,indianapolis,39.791,-86.148
1990,139,1462,1207,R2X3,indianapolis,39.791,-86.148
1990,139,1393,1438,R2Y2,richmond,37.5333,-77.4667
1990,139,1278,1320,R2Y3,richmond,37.5333,-77.4667
1990,139,1104,1112,R2Z2,long_beach,33.7683,-118.1956
1990,139,1258,1276,R2Z3,long_beach,33.7683,-118.1956
1990,143,1163,1155,R3W1,east_rutherford,40.8171,-74.085
1990,143,1181,1417,R3W2,east_rutherford,40.8171,-74.085
1990,143,1116,1314,R3X1,dallas,32.7767,-96.797
1990,143,1400,1462,R3X2,dallas,32.7767,-96.797
1990,144,1210,1277,R3Y1,new_orleans,29.9667,-90.05
1990,144,1278,1393,R3Y2,new_orleans,29.9667,-90.05
1990,144,1424,1123,R3Z1,oakland,37.8044,-122.2708
1990,144,1258,1104,R3Z2,oakland,37.8044,-122.2708
1990,145,1181,1163,R4W1,east_rutherford,40.8171,-74.085
1990,145,1116,1400,R4X1,dallas,32.7767,-96.797
1990,146,1210,1278,R4Y1,new_orleans,29.9667,-90.05
1990,146,1424,1258,R4Z1,oakland,37.8044,-122.2708
1990,152,1181,1116,R5WX,denver,39.7392,-104.9903
1990,152,1424,1210,R5YZ,denver,39.7392,-104.9903
1990,154,1424,1181,R6CH,denver,39.7392,-104.9903
1991,136,1350,1393,R1W2,college_park,38.9967,-76.9275
1991,136,1329,1307,R1W3,college_park,38.9967,-76.9275
1991,136,1301,1379,R1W6,college_park,38.9967,-76.9275
1991,136,1396,1345,R1W7,college_park,38.9967,-76.9275
1991,136,1231,1157,R1X2,minneapolis,44.9778,-93.265
1991,136,1242,1309,R1X3,minneapolis,44.9778,-93.265
1991,136,1338,1208,R1X6,minneapolis,44.9778,-93.265
1991,136,1199,1425,R1X7,minneapolis,44.9778,-93.265
1991,136,1181,1419,R1Y2,louisville,38.25,-85.7667
1991,136,1462,1304,R1Y3,louisville,38.25,-85.7667
1991,136,1163,1261,R1Y6,louisville,38.25,-85.7667
1991,136,1234,1190,R1Y7,louisville,38.25,-85.7667
1991,136,1112,1384,R1Z2,salt_lake_city,40.75,-111.8833
1991,136,1371,1337,R1Z3,salt_lake_city,40.75,-111.8833
1991,136,1166,1308,R1Z6,salt_lake_city,40.75,-111.8833
1991,136,1140,1438,R1Z7,salt_lake_city,40.75,-111.8833
1991,137,1314,1318,R1W1,syracuse,43.0469,-76.1444
1991,137,1336,1417,R1W4,syracuse,43.0469,-76.1444
1991,137,1185,1280,R1W5,syracuse,43.0469,-76.1444
1991,137,1437,1343,R1W8,syracuse,43.0469,-76.1444
1991,137,1116,1209,R1X1,dayton,39.7594,-84.1917
1991,137,1104,1293,R1X4,dayton,39.7594,-84.1917
1991,137,1448,1256,R1X5,dayton,39.7594,-84.1917
1991,137,1113,1353,R1X8,dayton,39.7594,-84.1917
1991,137,1326,1406,R1Y1,atlanta,33.755,-84.39
1991,137,1385,1296,R1Y4,atlanta,33.755,-84.39
1991,137,1400,1389,R1Y5,atlanta,33.755,-84.39
1991,137,1210,1177,R1Y8,atlanta,33.755,-84.39
1991,137,1424,1285,R1Z1,tucson,32.2217,-110.9264
1991,137,1428,1375,R1Z4,tucson,32.2217,-110.9264
1991,137,1277,1453,R1Z5,tucson,32.2217,-110.9264
1991,137,1207,1435,R1Z8,tucson,32.2217,-110.9264
1991,138,1396,1350,R2W2,college_park,38.9967,-76.9275
1991,138,1329,1301,R2W3,college_park,38.9967,-76.9275
1991,138,1231,1199,R2X2,minneapolis,44.9778,-93.265
1991,138,1242,1338,R2X3,minneapolis,44.9778,-93.265
1991,138,1181,1234,R2Y2,louisville,38.25,-85.7667
1991,138,1163,1462,R2Y3,louisville,38.25,-85.7667
1991,138,1112,1140,R2Z2,salt_lake_city,40.75,-111.8833
1991,138,1371,1166,R2Z3,salt_lake_city,40.75,-111.8833
1991,139,1314,1437,R2W1,syracuse,43.0469,-76.1444
1991,139,1185,1336,R2W4,syracuse,43.0469,-76.1444
1991,139,1116,1113,R2X1,dayton,39.7594,-84.1917
1991,139,1104,1448,R2X4,dayton,39.7594,-84.1917
1991,139,1326,1210,R2Y1,atlanta,33.755,-84.39
1991,139,1385,1400,R2Y4,atlanta,33.755,-84.39
1991,139,1424,1207,R2Z1,tucson,32.2217,-110.9264
1991,139,1428,1277,R2Z4,tucson,32.2217,-110.9264
1991,143,1116,1104,R3X1,pontiac,42.6461,-83.2925
1991,143,1242,1231,R3X2,pontiac,42.6461,-83.2925
1991,143,1424,1428,R3Z1,seattle,47.6097,-122.3331
1991,143,1371,1112,R3Z2,seattle,47.6097,-122.3331
1991,144,1314,1185,R3W1,east_rutherford,40.8171,-74.085
1991,144,1396,1329,R3W2,east_rutherford,40.8171,-74.085
1991,144,1385,1326,R3Y1,charlotte,35.2269,-80.8433
1991,144,1181,1163,R3Y2,charlotte,35.2269,-80.8433
1991,145,1242,1116,R4X1,pontiac,42.6461,-83.2925
1991,145,1424,1371,R4Z1,seattle,47.6097,-122.3331
1991,146,1314,1396,R4W1,east_rutherford,40.8171,-74.085
1991,146,1181,1385,R4Y1,charlotte,35.2269,-80.8433
