TeamNameSpelling,TeamID
idaho st,3226
idaho st.,3226
idaho state,3226
idaho-st,3226
idaho-state,3226
il chicago,3227
ill.-chicago,3227
ill-chicago,3227
illinois,3228
illinois st,3229
illinois st.,3229
illinois state,3229
illinois-chicago,3227
illinois-st,3229
illinois-state,3229
incarnate word,3230
incarnate-word,3230
indiana,3231
indiana - purdue,3237
indiana st,3232
indiana st.,3232
indiana state,3232
indiana-st,3232
indiana-state,3232
iona,3233
iowa,3234
iowa st,3235
iowa st.,3235
iowa state,3235
iowa-st,3235
iowa-state,3235
ipfw,3236
iupu - ft. wayne,3236
iupu-fort wayne,3236
iupu-fort-wayne,3236
iupui,3237
jackson st,3238
jackson st.,3238
jackson state,3238
jackson-st,3238
jackson-state,3238
jacksonville,3239
jacksonville st,3240
jacksonville st.,3240
jacksonville state,3240
jacksonville-st,3240
jacksonville-state,3240
james madison,3241
james-madison,3241
kansas,3242
kansas st,3243
kansas st.,3243
kansas state,3243
kansas-st,3243
kansas-state,3243
kennesaw,3244
kennesaw st.,3244
kennesaw state,3244
kennesaw-st,3244
kennesaw-state,3244
kent,3245
kent st.,3245
kent state,3245
kent-st,3245
kent-state,3245
kentucky,3246
la salle,3247
la.-lafayette,3418
la.-monroe,3419
lafayette,3248
lamar,3249
lamar university,3249
lamar-university,3249
la-monroe,3419
la-salle,3247
lehigh,3250
liberty,3251
lipscomb,3252
little rock,3114
little-rock,3114
liu brooklyn,3254
liu-brooklyn,3254
long beach st,3253
long beach st.,3253
long beach state,3253
long island,3254
long island university,3254
longbeach state,3253
long-beach-st,3253
long-beach-state,3253
long-island,3254
long-island-university,3254
longwood,3255
louisiana,3418
louisiana state,3261
louisiana tech,3256
louisiana-lafayette,3418
louisiana-monroe,3419
louisiana-state,3261
louisiana-tech,3256
louisville,3257
loy marymount,3258
loyola (il),3260
loyola (md),3259
loyola chicago,3260
loyola maryland,3259
loyola marymount,3258
loyola md,3259
loyola-c,3260
loyola-chicago,3260
loyola-il,3260
loyola-maryland,3259
loyola-marymount,3258
loyola-md,3259
lsu,3261
ma lowell,3262
maine,3263
manhattan,3264
marist,3265
marquette,3266
marshall,3267
maryland,3268
maryland - e. shore,3271
maryland-baltimore county,3420
maryland-baltimore-county,3420
maryland-eastern shore,3271
maryland-eastern-shore,3271
massachusetts,3269
massachusetts lowell,3262
massachusetts-lowell,3262
mcneese,3270
mcneese st,3270
mcneese st.,3270
mcneese state,3270
mcneese-state,3270
md baltimore co,3420
md baltimore cty,3420
md e shore,3271
md. eastern shore,3271
memphis,3272
mercer,3273
miami - florida,3274
miami (fl),3274
miami (fla.),3274
miami (oh),3275
miami (ohio),3275
miami fl,3274
miami oh,3275
miami-fl,3274
miami-florida,3274
miami-oh,3275
miami-ohio,3275
michigan,3276
michigan st,3277
michigan st.,3277
michigan state,3277
michigan-st,3277
michigan-state,3277
middle tenn st,3292
middle tenn st.,3292
middle tenn.,3292
middle tennessee,3292
middle tennessee st.,3292
middle tennessee state,3292
middle-tenn,3292
middle-tennessee,3292
middle-tennessee-state,3292
milwaukee,3454
minnesota,3278
miss valley st.,3290
mississippi,3279
mississippi st,3280
mississippi st.,3280
mississippi state,3280
mississippi val.,3290
mississippi valley state,3290
mississippi-st,3280
mississippi-state,3280
mississippi-val,3290
mississippi-valley-state,3290
missouri,3281
missouri kc,3282
missouri st,3283
missouri st.,3283
missouri state,3283
missouri-kansas city,3282
missouri-kansas-city,3282
missouri-st,3283
missouri-state,3283
mo kansas city,3282
monmouth,3284
monmouth nj,3284
monmouth-nj,3284
montana,3285
montana st,3286
montana st.,3286
montana state,3286
montana-st,3286
montana-state,3286
morehead st,3287
morehead st.,3287
morehead state,3287
morehead-st,3287
morehead-state,3287
morgan st,3288
morgan st.,3288
morgan state,3288
morgan-st,3288
morgan-state,3288
morris brown,3289
morris-brown,3289
mount st. marys,3291
mount st. mary's,3291
mount-st-marys,3291
ms valley st,3290
ms valley state,3290
mt st mary's,3291
mt st. mary's,3291
mt. st. mary`s,3291
mt. st. mary's,3291
mt-st-marys,3291
mtsu,3292
murray st,3293
murray st.,3293
murray state,3293
murray-st,3293
murray-state,3293
mvsu(miss. valley st,3290
n colorado,3294
n dakota st,3295
n illinois,3296
n kentucky,3297
n. carolina a&t,3299
n.c. a&t,3299
n.c. asheville,3421
n.c. central,3300
n.c. state,3301
n.j.i.t.,3312
navy,3298
nc a&t,3299
nc asheville,3421
nc central,3300
nc charlotte,3150
nc greensboro,3422
nc state,3301
nc wilmington,3423
nc-at,3299
nc-central,3300
nc-greensboro,3422
nc-state,3301
nc-wilmington,3423
ne illinois,3302
ne omaha,3303
nebraska,3304
nebraska omaha,3303
nebraska-omaha,3303
nevada,3305
nevada-las vegas,3424
nevada-las-vegas,3424
new hampshire,3306
new jersey tech,3312
new mexico,3307
new mexico st,3308
new mexico st.,3308
new mexico state,3308
new orleans,3309
new-hampshire,3306
new-jersey-tech,3312
new-mexico,3307
new-mexico-st,3308
new-mexico-state,3308
neworleans,3309
new-orleans,3309
niagara,3310
nicholls,3311
nicholls st,3311
nicholls st.,3311
nicholls state,3311
nicholls-st,3311
nicholls-state,3311
njit,3312
no.carolina a&t,3299
norfolk st,3313
norfolk st.,3313
norfolk state,3313
norfolk-st,3313
norfolk-state,3313
north ala.,3466
north alabama,3466
north carolina,3314
north carolina a&t,3299
north carolina central,3300
north carolina st.,3301
north carolina state,3301
north carolina-asheville,3421
north carolina-greensboro,3422
north carolina-wilmington,3423
north dakota,3315
north dakota st.,3295
north dakota state,3295
north florida,3316
north texas,3317
north-carolina,3314
north-carolina-asheville,3421
north-carolina-at,3299
north-carolina-central,3300
north-carolina-charlotte,3150
north-carolina-greensboro,3422
north-carolina-st,3301
north-carolina-state,3301
north-carolina-wilmington,3423
north-dakota,3315
north-dakota-st,3295
north-dakota-state,3295
northeastern,3318
northeastern illinois,3302
northern ariz.,3319
northern arizona,3319
northern colo.,3294
northern colorado,3294
northern ill.,3296
northern illinois,3296
northern iowa,3320
northern kentucky,3297
northern ky.,3297
northern-ariz,3319
northern-arizona,3319
northern-colo,3294
northern-colorado,3294
northern-ill,3296
northern-illinois,3296
northern-iowa,3320
northern-kentucky,3297
northern-ky,3297
north-florida,3316
north-texas,3317
northwestern,3321
northwestern la,3322
northwestern st.,3322
northwestern state,3322
northwestern-st,3322
northwestern-state,3322
notre dame,3323
notre-dame,3323
oakland,3324
ohio,3325
ohio st,3326
ohio st.,3326
ohio state,3326
ohio-st,3326
ohio-state,3326
okla city,3327
oklahoma,3328
oklahoma city,3327
oklahoma st,3329
oklahoma st.,3329
oklahoma state,3329
oklahoma-st,3329
oklahoma-state,3329
old dominion,3330
old-dominion,3330
ole miss,3279
ole-miss,3279
omaha,3303
oral roberts,3331
oral-roberts,3331
oregon,3332
oregon st,3333
oregon st.,3333
oregon state,3333
oregon-st,3333
oregon-state,3333
pacific,3334
penn,3335
penn st,3336
penn st.,3336
penn state,3336
penn-st,3336
penn-state,3336
pennsylvania,3335
pepperdine,3337
pfw,3236
pitt,3338
pittsburgh,3338
portland,3339
portland st,3340
portland st.,3340
portland state,3340
portland-st,3340
portland-state,3340
prairie view,3341
prairie view a&m,3341
prairie-view,3341
prairie-view-am,3341
presbyterian,3342
princeton,3343
providence,3344
purdue,3345
purdue fort wayne,3236
quinnipiac,3346
radford,3347
rhode island,3348
rhode-island,3348
rice,3349
richmond,3350
rider,3351
robert morris,3352
robert-morris,3352
rutgers,3353
s carolina st,3354
s carolina state,3354
s dakota st,3355
s illinois,3356
sacramento st.,3170
sacramento state,3170
sacramento-st,3170
sacramento-state,3170
sacred heart,3357
sacred-heart,3357
saint francis (pa),3384
saint joseph`s,3386
saint joseph’s,3386
saint joseph's,3386
saint louis,3387
saint mary's,3388
saint mary's (ca),3388
saint peter`s,3389
saint peter’s,3389
saint peter's,3389
saint-francis-pa,3384
saint-josephs,3386
saintlouis,3387
saint-louis,3387
saint-marys,3388
saint-marys-ca,3388
saint-peters,3389
sam houston st,3358
sam houston st.,3358
sam houston state,3358
samford,3359
sam-houston-st,3358
sam-houston-state,3358
san diego,3360
san diego st,3361
san diego st.,3361
san diego state,3361
san francisco,3362
san jose st,3363
san jose st.,3363
san jose state,3363
san-diego,3360
san-diego-st,3361
san-diego-state,3361
san-francisco,3362
san-jose-st,3363
san-jose-state,3363
santa barbara,3364
santa clara,3365
santa-clara,3365
savannah st,3366
savannah st.,3366
savannah state,3366
savannah-st,3366
savannah-state,3366
sc state,3354
sc upstate,3367
sd state,3361
se louisiana,3368
se missouri st,3369
se missouri st.,3369
se missouri st.(se,3369
se missouri state,3369
seattle,3370
seattle u,3370
seattle-u,3370
seton hall,3371
seton-hall,3371
sf austin,3372
sfa,3372
siena,3373
siu - edwardsville,3188
siu edwardsville,3188
siue,3188
siu-edwardsville,3188
sju (pa),3386
smu,3374
south ala.,3375
south alabama,3375
south carolina,3376
south carolina st.,3354
south carolina state,3354
south carolina upstat,3367
south carolina upstate,3367
south dakota,3377
south dakota st.,3355
south dakota state,3355
south fla.,3378
south florida,3378
south-ala,3375
south-alabama,3375
south-carolina,3376
south-carolina-st,3354
south-carolina-state,3354
south-carolina-upstate,3367
south-dakota,3377
south-dakota-st,3355
south-dakota-state,3355
southeast missouri state,3369
southeast mo. st.,3369
southeastern la.,3368
southeastern louisiana,3368
southeastern-la,3368
southeastern-louisiana,3368
southeast-missouri-state,3369
southeast-mo-st,3369
southern,3380
southern california,3425
southern ill.,3356
southern illinois,3356
southern illinois-edwardsville,3188
southern methodist,3374
southern miss,3379
southern miss.,3379
southern mississippi,3379
southern u,3380
southern u.,3380
southern un,3380
southern univ,3380
southern utah,3381
southern-california,3425
southern-ill,3356
southern-illinois,3356
southern-illinois-edwardsville,3188
southern-methodist,3374
southern-miss,3379
southern-mississippi,3379
southern-u,3380
southern-university,3380
southern-utah,3381
south-fla,3378
south-florida,3378
southwest missouri state,3283
st bonaventure,3382
st francis (ny),3383
st francis (pa),3384
st francis ny,3383
st francis pa,3384
st john's,3385
st john's (ny),3385
st joseph's,3386
st joseph's pa,3386
st louis,3387
st mary's (ca),3388
st mary's ca,3388
st peter's,3389
st. bonaventure,3382
st. francis (bkn),3383
st. francis (ny),3383
st. francis (pa),3384
st. francis brooklyn,3383
st. francis-ny,3383
st. john`s (ny),3385
st. john’s,3385
st. john's,3385
st. john's (ny),3385
st. joseph's,3386
st. joseph's pa,3386
st. mary`s (ca),3388
st. mary's,3388
st. peter's,3389
stanford,3390
st-bonaventure,3382
stephen f. austin,3372
stephen-f-austin,3372
stetson,3391
st-francis-brooklyn,3383
st-francis-ny,3383
st-francis-pa,3384
st-johns,3385
st-johns-ny,3385
st-josephs-pa,3386
st-marys-ca,3388
stony brook,3392
stony-brook,3392
st-peters,3389
sw missouri st.,3283
syracuse,3393
tam c,3394
tam c. christi,3394
tcu,3395
temple,3396
tennessee,3397
tennessee st,3398
tennessee st.,3398
tennessee state,3398
tennessee tech,3399
tennessee-chattanooga,3151
tennessee-martin,3404
tennessee-st,3398
tennessee-state,3398
tennessee-tech,3399
tenn-martin,3404
tex.-pan american,3410
texas,3400
texas a&m,3401
texas a&m cc,3394
texas a&m corpus,3394
texas a&m-cc,3394
texas a&m-corpus christi,3394
texas arlington,3426
texas christian,3395
texas rio grande valley,3410
texas san antonio,3427
texas southern,3411
texas st,3402
texas st.,3402
texas state,3402
texas tech,3403
texasa&m,3401
texas-am,3401
texas-am-corpus-christi,3394
texas-arlington,3426
texas-christian,3395
texas-el paso,3431
texas-el-paso,3431
texas-pan american,3410
texas-pan-american,3410
texas-rio grande valley,3410
texas-san antonio,3427
texas-san antonio(ut,3427
texas-san-antonio,3427
texas-southern,3411
texas-st,3402
texas-state,3402
texas-tech,3403
the citadel,3154
the-citadel,3154
tn martin,3404
toledo,3405
towson,3406
troy,3407
troy st.,3407
tulane,3408
tulsa,3409
tx pan american,3410
tx southern,3411
uab,3412
ualr,3114
uc davis,3413
uc irvine,3414
uc riverside,3415
uc santa barb.,3364
uc santa barbara,3364
uc-davis,3413
ucf,3416
uc-irvine,3414
ucla,3417
uconn,3163
uc-riverside,3415
uc-santa barbara,3364
uc-santa-barbara,3364
ucsb,3364
uic,3227
ull,3418
ulm,3419
umass,3269
umass lowell,3262
umass-lowell,3262
umbc,3420
umes,3271
umkc,3282
unc,3314
unc asheville,3421
unc greensboro,3422
unc wilmington,3423
unc-asheville,3421
uncg,3422
uncw,3423
uni,3320
university of california,3143
unlv,3424
usc,3425
usc upstate,3367
usc-upstate,3367
ut arlington,3426
ut martin,3404
ut san antonio,3427
utah,3428
utah st,3429
utah st.,3429
utah state,3429
utah valley,3430
utah valley st.,3430
utah-st,3429
utah-state,3429
utah-valley,3430
utah-valley-state,3430
ut-arlington,3426
utep,3431
utica,3432
ut-martin,3404
utrgv,3410
utsa,3427
va commonwealth,3433
valparaiso,3434
vanderbilt,3435
vcu,3433
vcu(va. commonwealth,3433
vermont,3436
villanova,3437
virginia,3438
virginia commonwealth,3433
virginia military,3440
virginia military institute,3440
virginia tech,3439
virginia-commonwealth,3433
virginia-military-institute,3440
virginia-tech,3439
vmi,3440
w carolina,3441
w illinois,3442
w kentucky,3443
w michigan,3444
w salem st,3445
w texas a&m,3446
wagner,3447
wake forest,3448
wake-forest,3448
washington,3449
washington st,3450
washington st.,3450
washington state,3450
washington-st,3450
washington-state,3450
weber st,3451
weber st.,3451
weber state,3451
weber-st,3451
weber-state,3451
west texas a&m,3446
west virginia,3452
western caro.,3441
western carolina,3441
western ill.,3442
western illinois,3442
western kentucky,3443
western ky.,3443
western mich.,3444
western michigan,3444
western-caro,3441
western-carolina,3441
western-ill,3442
western-illinois,3442
western-kentucky,3443
western-ky,3443
western-mich,3444
western-michigan,3444
west-virginia,3452
wi green bay,3453
wi milwaukee,3454
wichita st,3455
wichita st.,3455
wichita state,3455
wichita-st,3455
wichitastate,3455
wichita-state,3455
william & mary,3456
william-mary,3456
william--mary,3456
winston salem,3445
winston-salem,3445
winston-salem-state,3445
winthrop,3457
wis.-green bay,3453
wis.-milwaukee,3454
wisconsin,3458
wisconsin-green bay,3453
wisconsin-green-bay,3453
wisconsin-milwaukee,3454
wku,3443
wofford,3459
wright st,3460
wright st.,3460
wright state,3460
wright-st,3460
wright-state,3460
wyoming,3461
xavier,3462
yale,3463
youngstown st,3464
youngstown st.,3464
youngstown state,3464
youngstown-st,3464
youngstown-state,3464
