game_date	home_team	home_team_id	away_team	away_team_id	home_score	away_score	home_conf	away_conf	game_type	spread	over_under	line_moves
2010-11-26	Ohio St	1326	Miami (OH)	1275	66	45	Big Ten	Mid-American	Regular Season	-24.5	130	6
2010-11-26	Southern Utah	1381	Ball St	1123	54	73	Big Sky	Mid-American	Regular Season	10.5	142	4
2010-11-26	Tennessee	1397	Villanova	1437	78	68	Southeastern	Big East	Regular Season	5	144	5
2010-11-26	CS Northridge	1169	DePaul	1177	88	66	Big West	Big East	Regular Season	6.5	142.5	7
2010-11-26	Notre Dame	1323	California	1143	57	44	Atlantic Coast	Pacific-12	Regular Season	-3.5	143	3
2010-11-26	W Carolina	1441	Mercer	1273	66	71	Southern	Southern	Regular Season	-5	143	3
2010-11-26	Niagara	1310	Bowling Green	1132	65	61	Metro Atlantic Athletic	Mid-American	Regular Season	-1.5	133	7
2010-11-26	Valparaiso	1434	N Colorado	1294	76	61	Horizon League	Big Sky	Regular Season	-2.5	145.5	8
2010-11-26	Nicholls St	1311	Tulane	1408	66	52	Southland	American Athletic Conference	Regular Season			
2010-11-26	Fairfield	1193	Norfolk St	1313	91	56	Metro Atlantic Athletic	Mid-Eastern Athletic	Regular Season			
2010-11-26	Georgia Tech	1210	UTEP	1431	71	61	Atlantic Coast	Conference USA	Regular Season	1	140	17
2010-11-26	South Florida	1378	BYU	1140	75	77	American Athletic Conference	West Coast	Regular Season	13	140	4
2010-11-26	Wright St	1460	Richmond	1350	61	71	Horizon League	Atlantic 10	Regular Season	7.5	130	12
2010-11-26	Alaska - Anchorage	-1	Houston Bap	1223	74	67		Southland	Regular Season	-6	136.5	1
2010-11-26	Iowa	1234	Edwardsville	1188	111	50	Big Ten	Ohio Valley	Regular Season			
2010-11-26	Mississippi St	1280	Troy	1407	92	83	Southeastern	Sun Belt	Regular Season	-17	142	7
2010-11-26	Mississippi	1279	Penn St	1336	84	71	Southeastern	Big Ten	Regular Season	-6.5	136	6
2010-11-26	Rider	1351	Siena	1373	60	73	Metro Atlantic Athletic	Metro Atlantic Athletic	Regular Season	-3.5	140	8
2010-11-26	Clemson	1155	S Carolina St	1354	69	54	Atlantic Coast	Mid-Eastern Athletic	Regular Season			
2010-11-26	Hofstra	1220	Wagner	1447	67	63	Colonial Athletic Association	Northeast	Regular Season			
2010-11-26	NC A&T	1299	Greensboro	-1	79	58	Mid-Eastern Athletic		Regular Season			
2010-11-26	Stetson	1391	Palm Beach Atlantic	-1	55	61	Atlantic Sun		Regular Season			
2010-11-26	Illinois St	1229	South Dakota	1377	81	63	Missouri Valley	Summit	Regular Season	-6	142	5
2010-11-26	William & Mary	1456	Gardner Webb	1205	56	55	Colonial Athletic Association	Big South	Regular Season	-10.5	133	12
2010-11-26	Detroit	1178	Albany NY	1107	84	82	Horizon League	America East	Regular Season	-17.5	133	8
2010-11-26	Indiana	1231	Northwestern LA	1322	100	66	Big Ten	Southland	Regular Season			
2010-11-26	Syracuse	1393	Michigan	1276	53	50	Atlantic Coast	Big Ten	Regular Season	-6.5	130	11
2010-11-26	Kent	1245	Lehigh	1250	80	75	Mid-American	Patriot League	Regular Season			
2010-11-26	St Joseph's PA	1386	Rutgers	1353	76	70	Atlantic 10	Big Ten	Regular Season	1.5	130	7
2010-11-26	Delaware St	1175	Cairn University	-1	103	43	Mid-Eastern Athletic		Regular Season			
2010-11-26	Temple	1396	Georgia	1208	65	58	American Athletic Conference	Southeastern	Regular Season	-4	130	2
2010-11-26	Kansas	1242	Ohio	1325	98	41	Big 12	Mid-American	Regular Season	-17	147	7
2010-11-26	Maryland	1268	Elon	1189	76	57	Big Ten	Colonial Athletic Association	Regular Season	-23.5	153	3
2010-11-26	Arkansas	1116	UAB	1412	65	70	Southeastern	Conference USA	Regular Season	-2.5	137.5	6
2010-11-26	Kansas St	1243	TX Southern	1411	84	60	Big 12	Southwestern Athletic	Regular Season			
2010-11-26	Creighton	1166	Kennesaw	1244	75	57	Big East	Atlantic Sun	Regular Season			
2010-11-26	Texas Tech	1403	St Mary's CA	1388	68	88	Big 12	West Coast	Regular Season	3	152	8
2010-11-26	Purdue	1345	S Illinois	1356	79	60	Big Ten	Missouri Valley	Regular Season	-12	138	7
2010-11-26	ULM	1419	Jacksonville St	1240	57	50	Sun Belt	Ohio Valley	Regular Season	2	133	8
2010-11-26	UNLV	1424	Murray St	1293	69	55	Mountain West	Ohio Valley	Regular Season	-8	135	3
2010-11-26	Drake	1179	St John's	1385	39	82	Missouri Valley	Big East	Regular Season	11	133	2
2010-11-26	San Diego St	1361	San Diego Christian	-1	88	69	Mountain West		Regular Season			
2010-11-26	Fresno St	1201	Washington St	1450	55	66	Mountain West	Pacific-12	Regular Season	7	137	15
2010-11-26	Arizona	1112	Santa Clara	1365	82	59	Pacific-12	West Coast	Regular Season	-13.5	142	5
2010-11-26	Stanford	1390	Tulsa	1409	53	65	Pacific-12	American Athletic Conference	Regular Season	-2	140	7
2010-11-26	Arizona St	1113	Weber St	1451	59	58	Pacific-12	Big Sky	Regular Season	-6	137	1
2010-11-27	Georgetown	1207	UNC Asheville	1421	87	72	Big East	Big South	Regular Season			
2010-11-27	Southern	1380	Charleston So	1149	54	89	Southwestern Athletic	Big South	Regular Season	17.5	140	5
2010-11-27	GA Southern	1204	MS Valley St	1290	64	75	Sun Belt	Southwestern Athletic	Regular Season			
2010-11-27	Lafayette	1248	Delaware	1174	64	67	Patriot League	Colonial Athletic Association	Regular Season			
2010-11-27	Vermont	1436	NJIT	1312	69	50	America East	Atlantic Sun	Regular Season			
2010-11-27	Fordham	1200	Hartford	1216	61	57	Atlantic 10	America East	Regular Season			
2010-11-27	Mt St Mary's	1291	Florida A&M	1197	70	61	Northeast	Mid-Eastern Athletic	Regular Season			
2010-11-27	Campbell	1144	Longwood	1255	93	77	Big South	Big South	Regular Season			
2010-11-27	New Hampshire	1306	Brown	1135	70	66	America East	Ivy League	Regular Season			
2010-11-27	Louisville	1257	Marshall	1267	80	66	Atlantic Coast	Conference USA	Regular Season	-17	150	10
2010-11-27	IPFW	1236	Judson University	-1	105	65	Summit		Regular Season			
2010-11-27	W Michigan	1444	Illinois	1228	63	78	Mid-American	Big Ten	Regular Season	12.5	134.5	4
2010-11-27	Indiana St	1232	Buffalo	1138	58	54	Missouri Valley	Mid-American	Regular Season	-4.5	137	12
2010-11-27	Iowa St	1235	Montana St	1286	81	59	Big 12	Big Sky	Regular Season	-13	142	5
2010-11-27	Alabama	1104	Alabama A&M	1105	76	50	Southeastern	Southwestern Athletic	Regular Season			
2010-11-27	Vanderbilt	1435	Appalachian St	1111	86	73	Southeastern	Sun Belt	Regular Season	-14.5	144.5	1
2010-11-27	Central Conn	1148	Monmouth NJ	1284	54	50	Northeast	Metro Atlantic Athletic	Regular Season			
2010-11-27	St Louis	1387	IUPUI	1237	58	55	Atlantic 10	Summit	Regular Season	-7.5	121	1
2010-11-27	Rhode Island	1348	Davidson	1172	71	58	Atlantic 10	Atlantic 10	Regular Season	-7.5	140.5	2
2010-11-27	Yale	1463	Army	1119	87	79	Ivy League	Patriot League	Regular Season			
2010-11-27	Butler	1139	Evansville	1191	68	71	Big East	Missouri Valley	Regular Season	-19.5	139.5	5
2010-11-27	NC Central	1300	Allen	-1	96	81	Mid-Eastern Athletic		Regular Season			
2010-11-27	Dartmouth	1171	Colgate	1159	80	63	Ivy League	Patriot League	Regular Season			
2010-11-27	St Peter's	1389	Long Island	1254	65	62	Metro Atlantic Athletic	Northeast	Regular Season			
2010-11-27	Oakland	1324	Austin Peay	1122	78	70	Horizon League	Ohio Valley	Regular Season	-4.5	148.5	7
2010-11-27	N Colorado	1294	Bethune-Cookman	1126	69	45	Big Sky	Mid-Eastern Athletic	Regular Season	-6	130.5	4
2010-11-27	Chicago St	1152	Liberty	1251	65	67	Western Athletic	Big South	Regular Season			
2010-11-27	Birmingham Southern	-1	New Orleans	1309	63	59		Southland	Regular Season			
2010-11-27	Massachusetts	1269	Holy Cross	1221	83	76	Atlantic 10	Patriot League	Regular Season			
2010-11-27	Gardner Webb	1205	W Carolina	1441	71	65	Big South	Southern	Regular Season	6.5	138.5	4
2010-11-27	UC Davis	1413	Seattle	1370	80	58	Big West	Western Athletic	Regular Season			
2010-11-27	ETSU	1190	Milligan	-1	103	55	Southern		Regular Season			
2010-11-27	TCU	1395	Houston	1222	79	63	Big 12	American Athletic Conference	Regular Season	-5.5	138	9
2010-11-27	SE Louisiana	1368	Loyola (LA)	-1	99	69	Southland		Regular Season			
2010-11-27	Oregon	1332	Duke	1181	71	98	Pacific-12	Atlantic Coast	Regular Season	20	146.5	9
2010-11-27	Texas	1400	Rice	1349	62	59	Big 12	Conference USA	Regular Season	-21	134	6
2010-11-27	George Mason	1206	FL Atlantic	1194	66	51	Atlantic 10	Conference USA	Regular Season	-10.5	143.5	1
2010-11-27	Southern Utah	1381	Houston Bap	1223	64	61	Big Sky	Southland	Regular Season	-1	134.5	9
2010-11-27	East Carolina	1187	UNC Greensboro	1422	81	53	American Athletic Conference	Southern	Regular Season	-10	151	8
2010-11-27	Texas St	1402	North Texas	1317	77	81	Sun Belt	Conference USA	Regular Season			
2010-11-27	Boston Univ	1131	Cornell	1165	66	61	Patriot League	Ivy League	Regular Season			
2010-11-27	TN Martin	1404	Lipscomb	1252	71	90	Ohio Valley	Atlantic Sun	Regular Season			
2010-11-27	SE Missouri St	1369	Arkansas St	1117	50	56	Ohio Valley	Sun Belt	Regular Season	5	136.5	5
2010-11-27	Albany NY	1107	Niagara	1310	75	65	America East	Metro Atlantic Athletic	Regular Season	5.5	133	10
2010-11-27	San Francisco	1362	Loyola-Chicago	1260	62	63	West Coast	Missouri Valley	Regular Season	3.5	142.5	15
2010-11-27	UCF	1416	Alabama St	1106	84	48	American Athletic Conference	Southwestern Athletic	Regular Season			
2010-11-27	Valparaiso	1434	TAM C. Christi	1394	68	62	Horizon League	Southland	Regular Season	-6.5	142.5	8
2010-11-27	S Illinois	1356	Wright St	1460	56	50	Missouri Valley	Horizon League	Regular Season	1	130.5	5
2010-11-27	Michigan	1276	UTEP	1431	56	65	Big Ten	Conference USA	Regular Season	-2	126	5
2010-11-27	Texas Tech	1403	South Florida	1378	61	64	Big 12	American Athletic Conference	Regular Season	-3.5	140	5
2010-11-27	Cleveland St	1156	St Bonaventure	1382	69	51	Horizon League	Atlantic 10	Regular Season	-8	128	8
2010-11-27	William & Mary	1456	Mercer	1273	57	52	Colonial Athletic Association	Southern	Regular Season	-7.5	127	6
2010-11-27	Nebraska	1304	USC	1425	60	58	Big Ten	Pacific-12	Regular Season	-3.5	125	10
2010-11-27	NC State	1301	F Dickinson	1192	77	67	Atlantic Coast	Northeast	Regular Season			
2010-11-27	Alaska - Anchorage	-1	Ball St	1123	62	44		Mid-American	Regular Season	7	131	10
2010-11-27	E Washington	1186	Idaho	1225	60	70	Big Sky	Big Sky	Regular Season	-2.5	143	11
2010-11-27	Xavier	1462	Wofford	1459	94	90	Big East	Southern	Regular Season	-7.5	132.5	6
2010-11-27	Florida Intl	1198	Chattanooga	1151	80	59	Conference USA	Southern	Regular Season	-4	144.5	7
2010-11-27	West Virginia	1452	VMI	1440	82	66	Big 12	Southern	Regular Season			
2010-11-27	Pittsburgh	1338	Penn	1335	82	58	Atlantic Coast	Ivy League	Regular Season	-26	133	14
2010-11-27	Navy	1298	MD E Shore	1271	81	89	Patriot League	Mid-Eastern Athletic	Regular Season			
2010-11-27	Howard	1224	Oregon St	1333	74	84	Mid-Eastern Athletic	Pacific-12	Regular Season			
2010-11-27	WKU	1443	South Carolina	1376	85	87	Conference USA	Southeastern	Regular Season	-1	141	7
2010-11-27	James Madison	1241	E Michigan	1185	74	68	Colonial Athletic Association	Mid-American	Regular Season	-9.5	130	4
2010-11-27	Duquesne	1182	UMBC	1420	101	69	Atlantic 10	America East	Regular Season			
2010-11-27	SF Austin	1372	Univ. of Science and Arts (OK)	-1	86	47	Southland		Regular Season			
2010-11-27	Winthrop	1457	Lander	-1	65	46	Big South		Regular Season			
2010-11-27	Cincinnati	1153	Dayton	1173	68	34	American Athletic Conference	Atlantic 10	Regular Season	-1	133	12
2010-11-27	Coastal Car	1157	Citadel	1154	72	64	Big South	Southern	Regular Season			
2010-11-27	FL Gulf Coast	1195	Miami FL	1274	75	87	Atlantic Sun	Atlantic Coast	Regular Season			
2010-11-27	Illinois St	1229	ULM	1419	59	55	Missouri Valley	Sun Belt	Regular Season	-16	131	3
2010-11-27	Youngstown St	1464	St Francis (PA)	1384	91	63	Horizon League	Northeast	Regular Season			
2010-11-27	Santa Clara	1365	Ohio	1325	72	78	West Coast	Mid-American	Regular Season	1.5	147	7
2010-11-27	Detroit	1178	Bowling Green	1132	71	62	Horizon League	Mid-American	Regular Season	-14	130.5	14
2010-11-27	Marist	1265	UC Irvine	1414	56	77	Metro Atlantic Athletic	Big West	Regular Season	2.5	132	12
2010-11-27	Charlotte	1150	Radford	1347	73	52	Conference USA	Big South	Regular Season			
2010-11-27	Georgia St	1209	Samford	1359	61	70	Sun Belt	Southern	Regular Season	-2.5	133	6
2010-11-27	Syracuse	1393	Georgia Tech	1210	80	76	Atlantic Coast	Atlantic Coast	Regular Season	-6	131.5	1
2010-11-27	Purdue	1345	Richmond	1350	54	65	Big Ten	Atlantic 10	Regular Season	-5.5	133.5	12
2010-11-27	Auburn	1120	Jacksonville	1239	55	69	Southeastern	Atlantic Sun	Regular Season			
2010-11-27	S Dakota St	1355	E Illinois	1183	84	58	Summit	Ohio Valley	Regular Season			
2010-11-27	WI Green Bay	1453	N Dakota St	1295	71	69	Horizon League	Summit	Regular Season	-4	144.5	1
2010-11-27	Southern Miss	1379	Spring Hill	-1	94	41	Conference USA		Regular Season			
2010-11-27	Lamar	1249	St Gregory's	-1	118	69	Southland		Regular Season			
2010-11-27	UT Arlington	1426	St Edward's	-1	67	52	Sun Belt		Regular Season			
2010-11-27	St Mary's CA	1388	BYU	1140	73	74	West Coast	West Coast	Regular Season	2	152	10
2010-11-27	Northern Iowa	1320	North Dakota	1315	65	52	Missouri Valley	Big Sky	Regular Season			
2010-11-27	Colorado St	1161	Sam Houston St	1358	81	92	Mountain West	Southland	Regular Season			
2010-11-27	Jacksonville St	1240	South Dakota	1377	64	56	Ohio Valley	Summit	Regular Season	6	139	11
2010-11-27	Utah	1428	Oral Roberts	1331	70	78	Pacific-12	Summit	Regular Season	-7.5	139	3
2010-11-27	Utah Valley	1430	Northern New Mexico	-1	87	37	Western Athletic		Regular Season			
2010-11-27	WI Milwaukee	1454	Marquette	1266	72	75	Horizon League	Big East	Regular Season	10	146	14
2010-11-27	CS Fullerton	1168	CS Bakersfield	1167	85	75	Big West	Western Athletic	Regular Season			
2010-11-27	Utah St	1429	Northeastern	1318	56	54	Mountain West	Colonial Athletic Association	Regular Season	-15	127	13
2010-11-27	Boise St	1129	Denver	1176	65	52	Mountain West	Summit	Regular Season	-10	128	9
2010-11-27	Weber St	1451	Drake	1179	82	81	Big Sky	Missouri Valley	Regular Season	-7.5	132	9
2010-11-27	Portland	1339	Santa Barbara	1364	75	63	West Coast	Big West	Regular Season	-3.5	134	7
2010-11-27	CS Sacramento	1170	Cal Poly SLO	1142	71	67	Big Sky	Big West	Regular Season	4	128	10
2010-11-27	Long Beach St	1253	Loy Marymount	1258	77	80	Big West	West Coast	Regular Season	-7.5	132	11
2010-11-27	Kansas	1242	Arizona	1112	87	79	Big 12	Pacific-12	Regular Season	-7.5	144.5	12
2010-11-27	Arizona St	1113	St John's	1385	58	67	Pacific-12	Big East	Regular Season	3	134	16
2010-11-28	Texas A&M	1401	Temple	1396	54	51	Southeastern	American Athletic Conference	Regular Season	0	119	2
2010-11-28	Boston College	1130	California	1143	68	46	Atlantic Coast	Pacific-12	Regular Season	1	128.5	6
2010-11-28	Michigan St	1277	Tennessee Tech	1399	73	55	Big Ten	Ohio Valley	Regular Season	-25.5	149.5	7
2010-11-28	Harvard	1217	Colorado	1160	82	66	Ivy League	Pacific-12	Regular Season	-2.5	140	9
2010-11-28	DePaul	1177	Stanford	1390	74	81	Big East	Pacific-12	Regular Season	8.5	135	7
2010-11-28	American Univ	1110	Columbia	1162	62	64	Patriot League	Ivy League	Regular Season			
2010-11-28	Mercer	1273	Gardner Webb	1205	65	78	Southern	Big South	Regular Season	-3	137	4
2010-11-28	Princeton	1343	Siena	1373	86	77	Ivy League	Metro Atlantic Athletic	Regular Season	1	131	9
2010-11-28	Drexel	1180	Binghamton	1127	79	39	Colonial Athletic Association	America East	Regular Season			
2010-11-28	ULM	1419	South Dakota	1377	66	79	Sun Belt	Summit	Regular Season	5	135	5
2010-11-28	SMU	1374	Cent Arkansas	1146	76	72	American Athletic Conference	Southland	Regular Season			
2010-11-28	New Mexico	1307	San Diego	1360	75	46	Mountain West	West Coast	Regular Season	-18.5	126.5	5
2010-11-28	Bowling Green	1132	Albany NY	1107	55	56	Mid-American	America East	Regular Season	2	132	6
2010-11-28	High Point	1219	Hampton	1214	64	70	Big South	Mid-Eastern Athletic	Regular Season			
2010-11-28	Penn St	1336	Furman	1202	70	49	Big Ten	Southern	Regular Season	-12.5	128	4
2010-11-28	Missouri	1281	Ark Pine Bluff	1115	91	63	Southeastern	Southwestern Athletic	Regular Season			
2010-11-28	IL Chicago	1227	Toledo	1405	63	62	Horizon League	Mid-American	Regular Season	-12	123.5	5
2010-11-28	Pepperdine	1337	Northern Arizona	1319	74	88	West Coast	Big Sky	Regular Season	1	136	11
2010-11-28	South Alabama	1375	LSU	1261	65	80	Sun Belt	Southeastern	Regular Season	3	134	8
2010-11-28	CS Northridge	1169	Tulsa	1409	63	80	Big West	American Athletic Conference	Regular Season	11	145	3
2010-11-28	Manhattan	1264	Georgia	1208	58	61	Metro Atlantic Athletic	Southeastern	Regular Season	16.5	123.5	4
2010-11-28	William & Mary	1456	W Carolina	1441	39	64	Colonial Athletic Association	Southern	Regular Season	-5	127	9
2010-11-28	Illinois St	1229	Jacksonville St	1240	60	47	Missouri Valley	Ohio Valley	Regular Season	-13	131	2
2010-11-28	Edwardsville	1188	Morehead St	1287	64	83	Ohio Valley	Ohio Valley	Regular Season			
2010-11-28	San Jose St	1363	UC Riverside	1415	80	77	Mountain West	Big West	Regular Season	-15	138.5	12
2010-11-28	Detroit	1178	Niagara	1310	96	77	Horizon League	Metro Atlantic Athletic	Regular Season	-9.5	135	4
2010-11-28	North Carolina	1314	Col Charleston	1158	74	69	Atlantic Coast	Colonial Athletic Association	Regular Season	-13.5	148	5
2010-11-28	Oklahoma St	1329	Murray St	1293	66	49	Big 12	Ohio Valley	Regular Season	-1.5	125	3
2010-11-28	Wisconsin	1458	Notre Dame	1323	51	58	Big Ten	Atlantic Coast	Regular Season	-2	126.5	10
2010-11-28	Lehigh	1250	Bryant	1136	88	68	Patriot League	Northeast	Regular Season			
2010-11-28	Florida St	1199	Florida	1196	51	55	Atlantic Coast	Southeastern	Regular Season	-4	146	9
2010-11-28	Northwestern	1321	Creighton	1166	65	52	Big Ten	Big East	Regular Season	-7.5	146	6
2010-11-28	Virginia Tech	1439	UNLV	1424	59	71	Atlantic Coast	Mountain West	Regular Season	2.5	132	10
2010-11-29	Cleveland St	1156	Robert Morris	1352	58	53	Horizon League	Northeast	Regular Season			
2010-11-29	La Salle	1247	Delaware St	1175	65	61	Atlantic 10	Mid-Eastern Athletic	Regular Season			
2010-11-29	Rider	1351	Hofstra	1220	48	58	Metro Atlantic Athletic	Colonial Athletic Association	Regular Season	-9.5	135	13
2010-11-29	Bucknell	1137	Wagner	1447	73	77	Patriot League	Northeast	Regular Season			
2010-11-29	Minnesota	1278	Virginia	1438	79	87	Big Ten	Atlantic Coast	Regular Season	-15	136.5	12
2010-11-29	Quinnipiac	1346	Maine	1263	75	67	Metro Atlantic Athletic	America East	Regular Season			
2010-11-29	Seton Hall	1371	St Peter's	1389	69	49	Big East	Metro Atlantic Athletic	Regular Season	-13.5	125.5	18
2010-11-29	Mt St Mary's	1291	Navy	1298	68	81	Northeast	Patriot League	Regular Season			
2010-11-29	Longwood	1255	F Dickinson	1192	78	83	Big South	Northeast	Regular Season			
2010-11-29	Florida A&M	1197	Webber	-1	93	70	Mid-Eastern Athletic		Regular Season			
2010-11-29	Providence	1344	Central Conn	1148	92	57	Big East	Northeast	Regular Season			
2010-11-29	Marshall	1267	Florida Intl	1198	88	79	Conference USA	Conference USA	Regular Season	-10	142	10
2010-11-29	IUPUI	1237	Indiana East	-1	103	80	Summit		Regular Season			
2010-11-29	Morgan St	1288	Loyola MD	1259	67	73	Mid-Eastern Athletic	Patriot League	Regular Season			
2010-11-29	SC Upstate	1367	UNC Asheville	1421	93	91	Atlantic Sun	Big South	Regular Season			
2010-11-29	Davidson	1172	Monmouth NJ	1284	69	53	Atlantic 10	Metro Atlantic Athletic	Regular Season			
2010-11-29	UNC Greensboro	1422	NC A&T	1299	70	82	Southern	Mid-Eastern Athletic	Regular Season			
2010-11-29	G Washington	1203	UNC Wilmington	1423	69	73	Atlantic 10	Colonial Athletic Association	Regular Season	-10	131	16
2010-11-29	VMI	1440	Central Penn College	-1	151	92	Southern		Regular Season			
2010-11-29	Campbell	1144	Johnson C. Smith	-1	77	64	Big South		Regular Season			
2010-11-29	Nicholls St	1311	Southern-New Orleans	-1	89	52	Southland		Regular Season			
2010-11-29	N Dakota St	1295	Valley City St	-1	88	55	Summit		Regular Season			
2010-11-29	Kansas St	1243	Emporia St	-1	85	61	Big 12		Regular Season			
2010-11-29	Tennessee St	1398	Belmont	1125	72	87	Ohio Valley	Ohio Valley	Regular Season			
2010-11-29	Baylor	1124	Prairie View	1341	90	45	Big 12	Southwestern Athletic	Regular Season			
2010-11-29	TCU	1395	USC	1425	81	69	Big 12	Pacific-12	Regular Season	-2	128	14
2010-11-29	Troy	1407	UAB	1412	57	78	Sun Belt	Conference USA	Regular Season	8.5	140.5	13
2010-11-29	N Illinois	1296	Boise St	1129	51	80	Mid-American	Mountain West	Regular Season	5	138.5	20
2010-11-29	Wichita St	1455	Missouri KC	1282	71	52	Missouri Valley	Western Athletic	Regular Season			
2010-11-29	Idaho St	1226	Montana Tech	-1	69	57	Big Sky		Regular Season			
2010-11-29	Seattle	1370	Montana St	1286	72	70	Western Athletic	Big Sky	Regular Season			
2010-11-30	Stetson	1391	Savannah St	1366	69	64	Atlantic Sun	Mid-Eastern Athletic	Regular Season			
2010-11-30	Lafayette	1248	Princeton	1343	64	82	Patriot League	Ivy League	Regular Season			
2010-11-30	Yale	1463	Hartford	1216	81	76	Ivy League	America East	Regular Season			
2010-11-30	Miami FL	1274	Mississippi	1279	86	73	Atlantic Coast	Southeastern	Regular Season	-3.5	136	7
2010-11-30	Penn	1335	UMBC	1420	71	59	Ivy League	America East	Regular Season			
2010-11-30	Norfolk St	1313	Iona	1233	64	73	Mid-Eastern Athletic	Metro Atlantic Athletic	Regular Season			
2010-11-30	Binghamton	1127	Canisius	1145	45	55	America East	Metro Atlantic Athletic	Regular Season			
2010-11-30	Kentucky	1246	Boston Univ	1131	91	57	Southeastern	Patriot League	Regular Season			
2010-11-30	Syracuse	1393	Cornell	1165	78	58	Atlantic Coast	Ivy League	Regular Season	-17.5	135.5	9
2010-11-30	Northwestern	1321	Georgia Tech	1210	91	71	Big Ten	Atlantic Coast	Regular Season	-5.5	135.5	13
2010-11-30	W Carolina	1441	Bradley	1133	66	65	Southern	Missouri Valley	Regular Season	1.5	131	17
2010-11-30	Hampton	1214	Georgia St	1209	60	56	Mid-Eastern Athletic	Sun Belt	Regular Season			
2010-11-30	Wake Forest	1448	Iowa	1234	76	73	Atlantic Coast	Big Ten	Regular Season	-1	146	18
2010-11-30	Charleston So	1149	Toccoa Falls	-1	120	43	Big South		Regular Season			
2010-11-30	S Carolina St	1354	Allen	-1	68	56	Mid-Eastern Athletic		Regular Season			
2010-11-30	Connecticut	1163	New Hampshire	1306	62	55	American Athletic Conference	America East	Regular Season			
2010-11-30	Notre Dame	1323	Indiana St	1232	81	72	Atlantic Coast	Missouri Valley	Regular Season	-16	135	20
2010-11-30	Florida St	1199	Ohio St	1326	44	58	Atlantic Coast	Big Ten	Regular Season	4	133.5	16
2010-11-30	Tennessee	1397	MTSU	1292	86	56	Southeastern	Conference USA	Regular Season	-17.5	142	13
2010-11-30	S Dakota St	1355	Nevada	1305	82	65	Summit	Mountain West	Regular Season	-6	144	10
2010-11-30	North Texas	1317	UT Arlington	1426	87	83	Conference USA	Sun Belt	Regular Season			
2010-11-30	Texas Tech	1403	Oral Roberts	1331	86	82	Big 12	Summit	Regular Season	-8	150	2
2010-11-30	Auburn	1120	Southwestern	-1	78	50	Southeastern		Regular Season			
2010-11-30	LSU	1261	Houston	1222	73	57	Southeastern	American Athletic Conference	Regular Season	-8	133	5
2010-11-30	UT San Antonio	1427	San Jose St	1363	72	63	Conference USA	Mountain West	Regular Season			
2010-11-30	Mississippi St	1280	FL Atlantic	1194	59	61	Southeastern	Conference USA	Regular Season	-10.5	148	7
2010-11-30	Tulane	1408	Alabama St	1106	84	69	American Athletic Conference	Southwestern Athletic	Regular Season			
2010-11-30	Northwestern LA	1322	Centenary	-1	82	55	Southland		Regular Season			
2010-11-30	Colorado	1160	UTRGV	1410	83	64	Pacific-12	Western Athletic	Regular Season			
